file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,科目,科目,名称(氏名),所在地(住所),期末現在高,摘要,,,,,,,,,,,,,,,
,,,1,買掛金,買掛金,河北鋼材産業(株),仙台市若林区卸町東5-2-10,2612218,材料代,,,,,,,,,,,,,,,
,,,2,〃,〃,(株)小川真功商店,仙台市宮城野区扇町4-3-25,1647886,材料代,,,,,,,,,,,,,,,
,,,3,〃,〃,(株)東北亜鉛電材製作所,仙台市若林区六丁の目元町4-18,1221864,外注代,,,,,,,,,,,,,,,
,,,4,〃,〃,トーステ(株),仙台市若林区六丁の目字柳掘24-1,943289,材料代,,,,,,,,,,,,,,,
,,,5,〃,〃,富士塗料興業(株),仙台市若林区卸町3丁目1-17,855855,材料代,,,,,,,,,,,,,,,
,,,6,〃,〃,(株)インスメタル,宮城郡利府町しらかし台6-10-2,826551,材料代,,,,,,,,,,,,,,,
,,,7,〃,〃,東北ネジ製造(株),仙台市宮城野区萩野町4-4-35,505514,消耗品代,,,,,,,,,,,,,,,
,,,8,〃,〃,(有)プロテック仙台,仙台市若林区六丁の目北町14-77,406535,消耗品代,,,,,,,,,,,,,,,
,,,9,〃,〃,(株)東北新光工業,山形市蔵王松ヶ丘1-1-9,330000,外注代,,,,,,,,,,,,,,,
,,,10,〃,〃,信号電材(株),福岡県大牟田市新港町1-29,404250,材料代,,,,,,,,,,,,,,,
,,,11,〃,〃,梶原電機(株),仙台市太白区八本松1-9-3,231000,外注代,,,,,,,,,,,,,,,
,,,12,〃,〃,(株)アマダ,紫波郡矢巾町字広宮第5地割3番地,194055,消耗品代,,,,,,,,,,,,,,,
,,,13,〃,〃,(株)シマキュウ,仙台市宮城野区扇町4-5-9,192214,消耗品代,,,,,,,,,,,,,,,
,,,14,〃,〃,タキゲン製造(株),名取市杜せきのした4-4-12,179080,材料代,,,,,,,,,,,,,,,
,,,15,〃,〃,ユーロテック仙台,仙台市泉区鶴が丘1-34-4,163900,消耗品代,,,,,,,,,,,,,,,
,,,16,〃,〃,アストモスリティリング(株),仙台市宮城野区高砂1-30-19,105133,消耗品代,,,,,,,,,,,,,,,
,,,17,〃,〃,協立塗料(株)仙台,仙台市若林区卸町東4-4-5,80300,材料代,,,,,,,,,,,,,,,
,,,18,〃,〃,(株)シマキュウ,仙台市宮城野区扇町4-5-9,77440,商品仕入,,,,,,,,,,,,,,,
,,,19,〃,〃,東邦銅鉄(株),仙台市若林区卸町3-7-9,71874,材料代,,,,,,,,,,,,,,,
,,,20,〃,〃,(有)河北シャーリング,仙台市若林区六丁の目元町4-11,36898,材料代,,,,,,,,,,,,,,,
,,,21,〃,〃,シンワ(株),仙台市宮城野区扇町4-5-15,31911,消耗品代,,,,,,,,,,,,,,,
,,,22,〃,〃,斎藤メッキ工業社,宮城郡利府町飯土井字長者前24-8,28286,外注代,,,,,,,,,,,,,,,
,,,23,〃,〃,サトウ設計,仙台市泉区館5-1-5,26400,外注代,,,,,,,,,,,,,,,
,,,24,計,計,,,,,,,,,,,,,,,,,,,
