"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"小倉産業株式会社","5.7.30","5.10.30","紀陽","本店","436925","",""
"前田株式会社","5.4.28","5.8.5","十八親和","本店","18978647","商工中金岡山",""
"前田株式会社","5.5.31","5.9.5","十八親和","本店","5524008","商工中金岡山",""
"前田株式会社","5.6.30","5.10.5","十八親和","本店","380977","",""
"前田株式会社","5.7.31","5.11.5","十八親和","本店","102019","",""
"(株)タケモト","5.5.16","5.8.31","肥後","上通","18463672","",""
"(株)タケモト","5.6.19","5.9.30","肥後","上通","8388354","",""
"(株)タケモト","5.7.13","5.10.31","肥後","上通","4229207","",""
"(株)タケモト","5.6.15","5.9.30","肥後","上通","2300000","",""
"(株)タケモト","5.5.17","5.8.31","肥後","上通","2200000","",""
"藤江繊維株式会社","5.5.8","5.8.15","岡崎信金","竜美丘","17800597","商工中金岡山",""
"藤江繊維株式会社","5.6.7","5.9.15","岡崎信金","竜美丘","15963602","山陰合同岡山",""
"藤江繊維株式会社","5.7.6","5.10.15","岡崎信金","竜美丘","3469952","中国本店",""
"(株)寺前商店","5.5.29","5.8.28","三菱UFJ","松阪","16573533","商工中金岡山",""
"(株)寺前商店","5.6.28","5.9.28","三菱UFJ","松阪","6839950","山陰合同岡山",""
"(株)寺前商店","5.5.29","5.8.28","三菱UFJ","松阪","2091420","商工中金岡山",""
"(株)寺前商店","5.7.28","5.10.28","三菱UFJ","松阪","1492182","",""
"(株)寺前商店","5.6.28","5.9.28","三菱UFJ","松阪","431542","",""
"(株)寺前商店","5.7.28","5.10.28","三菱UFJ","松阪","207868","",""
"(株)伊藤商店","5.6.20","5.8.31","三菱UFJ","半田","15036708","",""
"(株)フクオカタイガー","5.5.10","5.8.10","福岡","香椎","12024895","",""
"(株)フクオカタイガー","5.6.12","5.9.11","福岡","香椎","681745","",""
"(株)フクオカタイガー","5.7.10","5.10.10","福岡","香椎","152944","",""
"計","","","","","","",""
