"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)乃村工藝社","令4.12.29","令5.2.28","三井住友","東京中央","2500000","",""
"(株)乃村工藝社","令4.12.29","令5.2.28","三井住友","東京中央","818745","",""
"(株)大松","令4.12.20","令5.3.20","三菱UFI","池田","2640000","",""
"(株)インテリア森田","令4.12.28","令5.3.15","枚方信用金庫","家具町","359000","",""
"ジーク(株)","令5.1.10","令5.4.30","三井住友","四条","910000","",""
"(株)ヤン","令5.1.5","令5.4.5","りそな","新大阪駅前","781275","",""
"(株)乃村工藝社","令5.1.13","令5.3.15","三井住友","東京中央","1046438","",""
"(株)村山工房","令5.1.25","令5.5.25","三菱UFJ","久留米","350000","",""
"(株)バウハウス丸栄","令5.1.31","令5.3.31","大垣共立","岐阜","1910000","",""
"(株)丹青社","令5.1.31","令5.5.31","三井住友","上野","1860000","",""
"(株)ヤン","令5.1.31","令5.4.30","りそな","新大阪駅前","329092","",""
"(株)清和ビジネス","令5.1.25","令5.5.7","りそな","東京中央","2157246","",""
"野原ホールディングス(株)","令5.1.31","令5.4.30","八十二","東京営業部","102960","",""
"凸版印刷(株)","令5.1.31","令5.5.10","三菱UFI","本店","4368100","",""
"(株)インテリア森田","令5.1.27","令5.4.15","枚方信用金庫","家具町","381000","",""
"計","","","","","52373082","",""
