"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"吾興株式会社","令5.2.28","令5.6.30","伊予銀行","広島","132000","","1月請求分"
"大成工業株式会社","令5.2.28","令5.6.30","南都銀行","耳成","8092700","","4月請求分"
"〃","令5.3.27","令5.6.30","〃","〃","549700","","2月請求分"
"アテナ工業株式会社","令5.4.17","令5.6.5","岐阜信金","加納","121000","","3月請求分"
"吉村化成株式会社","令5.4.15","令5.8.15","南都銀行","香芝","492580","","〃"
"〃","令5.5.15","令5.9.15","〃","〃","894300","","4月請求分"
"株式会社脇坂エンジニアリング","令5.4.20","令5.8.22","りそな銀行","上六","681670","","3月請求分"
"〃","令5.5.20","令5.9.22","〃","〃","384835","","4月請求分"
"〃","令5.5.20","令5.9.22","〃","〃","1011835","","〃"
"有限会社九州樹脂工業","令5.4.28","令50.7.31","西日本シティ銀行","久留米","1111000","","3月請求分"
"国光オブラート株式会社","令5.5.10","令5.8.31","静岡銀行","本店","1026465","","4月請求分"
"三宝化成工業株式会社","令5.5.15","令5.9.5","みずほ銀行","江坂","3000000","","〃"
"株式会社水谷製作所","令5.5.31","令5.7.31","商工中金","東大阪","1300000","","〃"
"手持手形計","","","","","18798085","",""
"大成工業株式会社","令5.3.27","令5.6.30","南都銀行","耳成","3000000","","2月請求分"
"アテナ工業株式会社","令5.5.15","令5.7.5","岐阜信金","加納","3058000","","4月請求分"
"吉村化成株式会社","令5.2.15","令5.6.15","南都銀行","香芝","10231760","","10・11・1月請求分"
"有限会社九州樹脂工業","令5.3.31","令5.6.30","西日本シティ銀行","久留米","3614600","","2月請求分"
"国光オブラート株式会社","令5.4.10","令5.7.31","静岡銀行","本店","3000000","","3月請求分"
"株式会社水谷製作所","令5.3.31","令5.6.30","商工中金","東大阪","3000000","","2月請求分"
"ダイシン化工株式会社","令5.2.28","令5.7.10","三菱UFJ銀行","奈良","3000000","","1月請求分"
