"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)速永工務店","","","肥後銀行人吉","","10604000","",""
"(株)中野産業","","","宮崎銀行宮崎","","10000000","",""
"吉原建設(株)","","","宮崎銀行都城","","8900000","",""
"(株)三好鉄工所","","","愛媛銀行新居浜","","4698100","",""
"その他","","","","","3114760","",""
"受取手形合計","","","","","37316860","",""
"(株)矢野興業","","","宮崎銀行高千穂","","14750000","","裏書手形"
"(株)中野産業","","","宮崎銀行宮崎","","5300000","","裏書手形"
"木材化工機(株)","","","みずほ銀行堂島","","4411000","","裏書手形"
"田中鉄工(株)","","","筑邦銀行本店営業部","","3959596","","裏書手形"
"吉原建設(株)","","","宮崎銀行宇都宮","","3500000","","裏書手形"
"その他","","","","","3767915","","裏書手形"
"裏書手形合計","","","","","35688511","",""
"計","","","","","73005371","",""
