振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
佐藤電機工業,5・2・20,5・5・31,,,"396,831",,
上北電機商会,5・2・21,5・5・31,,,"1,337,954",,
秋田重車輌,5・2・24,5・5・31,,,"116,384",,
八戸電機商会,5・2・27,5・5・31,,,"475,611",,
藤王リース脳耀裝商事,5・2・28,5・5・28,,,"454,881",,
羽田電機工業所,5・2・28,5・6・30,,,"1,295,412",,
仙北電装,5・3・10,5・8・31,,,"558,357",,
守友電装,5・3・13,5・6・30,,,"566,849",,
岩手自動車電機,5・3・17,5・6・20,,,"224,663",,
上北電機商会,5・3・18,5・6・30,,,"1,320,560",,
河田電機,5・3・18,5・7・10,,,"400,000",,
佐藤電機工業,5・3・20,5・6・30,,,"335,215",,
アサノ電装,5・3・20,5・6・30,,,"733,780",,
弘前バッテリー社,5・3・20,5・7・31,,,"168,633",,
秋田重車輌,5・3・24,5・6・30,,,"242,935",,
大館自動車部品商会,5・3・27,5・6・30,,,"204,948",,
いすゞ自動車東方鈴木電機工業所,5・3・29,5・6・30,,,"313,423",,
太洋自動車工業MK電装商事,5・3・30,5・6・30,,,"515,381",,
荘内自動車工業MK電装商事,5・3・30,5・6・30,,,"194,183",,
住友建機販売新英商事,5・3・30,5・7・25,,,"242,965",,
羽田電機工業所,5・3・31,5・6・30,,,"836,927",,
ケービーエル,5・3・31,5・5・31,,,"225,148",,
小計,,,,,"23,667,882",,
計,,,,,,,
