振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
東北電化工業(株),R4・12・12,R5・4・10,山形銀行山形駅前支店,,"5,000,000",,CA02611売上代金
北日本電材(株),R5・1・20,R5・4・20,東北銀行仙台支店,,"139,810",,AD97888売上代金
トーステ(株),R4・12・28,R5・4・30,りそな銀行大阪西支店,,"140,657",,0I64545売上代金
信号電材(株),R4・12・28,R5・4・30,西日本シティ銀行大牟田支店,,"711,700",,BB19271売上代金
(株)フジ標産,R5・1・25,R5・5・5,常陽銀行仙台支店,,"380,985",,QJ08112売上代金
〃,R4・12・26,R5・5・10,みずほ銀行仙台支店,,"1,035,631",,BB017403売上代金
保工東北(株),R5・1・20,R5・5・20,きらやか銀行弓ノ町支店,,"960,000",,BE03471売上代金
(株)フジ標産,R5・1・25,R5・5・31,七十七銀行塩釜支店,,"105,600",,AQ36660売上代金
(株)松沢商会,R5・1・25,R5・5・31,第四銀行新潟駅前支店,,"1,004,080",,IM11026売上代金
信号電材(株),R5・1・31,R5・5・31,西日本シティ銀行大牟田支店,,"849,200",,BB19296売上代金
受取手形計,,,,,"10,327,663",,
河北精機,,,,,1,,備忘価額
内田板金,,,,,1,,備忘価額
日本プラント,,,,,1,,備忘価額
キシザキ工業,,,,,1,,備忘価額
よねや旅館,,,,,1,,備忘価額
保電気工業,,,,,1,,備忘価額
扇町工芸,,,,,1,,備忘価額
ハリマ電気,,,,,1,,備忘価額
青葉電機,,,,,1,,備忘価額
清電社,,,,,1,,備忘価額
不渡手形計,,,,,10,,
計,,,,,,,
