振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
東栄コンクリート工業(株),4・7・20,4・11・30,山形銀行,南館支店,"1,731,516",きらやか銀行荒砥支店,
(株)藤島建設,4・7・20,4・11・30,同上,小松支店,"1,200,000",同上,
小笠原建設(株),4・7・29,4・10・31,きらやか銀行,長井支店,"313,181",同上,
綿半ソリューションズ(株),4・7・29,4・11・30,八十二銀行,新宿支店,"353,600",同上,
日建工学(株),4・7・31,4・11・30,三菱UFJ銀行,新宿新都心支店,"5,000,000",同上,
同上,4・7・31,4・11・30,同上,同上,"265,586",同上,
同上,4・7・31,4・11・30,同上,同上,"3,000,000",同上,シンコー通商(株)
同上,4・7・31,4・11・30,同上,同上,"406,740",同上,同上
共和コンクリート工業(株),4・7・31,4・12・5,みずほ銀行,札幌支店,"1,495,863",同上,
嶋工建設(株),4・8・1,4・10・31,秋田銀行,鹿渡支店,"2,629,000",同上,シンコー通商(株)
(株)畑山,4・8・1,4・11・30,鶴岡信金,若竹町支店,"3,000,000",同上,
山形建設(株),4・8・1,4・11・30,山形銀行,本店営業部,"1,469,000",商工中金山形支店,
小笠原建設(株),4・8・2,4・10・31,きらやか銀行,長井支店,"2,045,363",きらやか銀行荒砥支店,(株)TMC
三省水工(株),4・8・3,4・11・5,みずほ銀行,渋谷中央支店,"2,694,560",同上,
樋口建設(株),4・8・5,4・10・31,山形銀行,長井支店,"2,731,526",同上,
(株)ヤマキチ,4・8・10,4・10・31,同上,荒砥支店,"909,000",同上,丸吉コンクリート工業(株)
小国開発(株),4・8・10,4・11・10,同上,小国支店,"1,202,839",同上,
丸吉コンクリート工業(株),4・8・10,4・12・5,同上,荒砥支店,"1,176,721",同上,
阿部コンクリート(株),4・8・22,4・12・15,きらやか銀行,余目支店,"610,830",同上,
前田製管(株),4・8・22,4・12・20,商工中金,酒田支店,"2,258,749",同上,
沼田コンクリート工業(株),4・8・22,4・12・31,きらやか銀行,新庄支店,"1,319,093",同上,
(株)藤島建設,4・8・22,4・12・31,山形銀行,小松支店,"200,000",同上,
小計,,,,,"36,013,167",,
合計,,,,,,,
