"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"松山開成(株)","","5.10.15","","","539135","",""
"松山開成(株)","","5.11.15","","","1237215","",""
"松山開成(株)","","5.12.15","","","1357419","",""
"松山開成(株)","","6.1.15","","","1182039","",""
"四国アセレチン工業(株)","","5.10.31","","","161700","",""
"(株)三協商会","","5.10.31","","","97900","",""
"(株)三協商会","","5.12.30","","","798314","",""
"宮本鉄工建設(株)","","5.10.20","","","1346224","",""
"宮本鉄工建設(株)","","5.10.20","","","5000000","",""
"宮本鉄工建設(株)","","5.11.20","","","353964","",""
"宮本鉄工建設(株)","","5.12.20","","","1827760","",""
"東鉱商事(株)","","5.10.31","","","687500","",""
"東鉱商事(株)","","5.10.15","","","1265000","",""
"東鉱商事(株)","","5.12.31","","","577500","",""
"東鉱商事(株)","","5.10.31","","","440000","",""
"越井木材工業(株)","","5.11.21","","","2822980","",""
"越井木材工業(株)","","5.11.21","","","5000000","",""
"コンドーテック(株)","","5.12.11","","","342980","",""
"コンドーテック(株)","","6.1.11","","","940995","",""
"コンドーテック(株)","","6.2.11","","","293073","",""
"三星商奪(株)","","5.12.15","","","633196","",""
"三星商事(株)","","61.15","","","243796","",""
"(株)ヤブ原","","5.12.11","","","268818","",""
"計","","","","","","",""
