"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(有)バケット屋","R5.5.7","R5.5.7","山口/新下関駅前","","4924337","/","1枚"
"(有)可部組","R5.4.5","R5.7.31","広島/曙","","4665000","/","6枚"
"みのる産業(株)","R5.4.15","R5.6.15","中国/赤磐","","4462663","/","3枚"
"勝井建設センター(株)","R5.4.20","R5.4.20","山口/由宇","","4125000","/","1枚"
"大下産業(株)","R5.5.31","R5.5.31","広島/衹園","","4000370","/","1枚"
"範多機械(株)","R5.6.15","R5.7.15","みずほ/梅田","","2961963","/","2枚"
"(株)まるせ","R5.4.30","R5.6.30","もみじ/吉島","","2915501","/","2枚"
"長浜産業(株)","R5.4.30","R5.8.31","伊予/呉","","2555381","/","5枚"
"(有)福田商会","R5.5.6","R5.6.6","山口/安岡","","2384025","/","2枚"
"小計","","","","","32994240","",""
