振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(株)フジ標産,,,庄内銀行北山形支店,,"1,262,645",,YG95861売上代金
仙台明邦産業(株),,,みずほ銀行仙台支店,,"2,170,223",,AM29945売上代金
(株)松沢商会,,,第四銀行新潟駅前支店,,"774,774",,HA18824売上代金
トーステ(株),,,りそな銀行大阪西区支店,,"1,178,416",,0164496売上代金
(有)河北シャーリング,,,東邦銀行仙台東支店,,"248,160",,BF14271売上代金
仙台明邦産業(株),,,みずほ銀行仙台支店,,"477,642",,AM29962売上代金
(株)松沢商会,,,第四銀行新潟駅前支店,,"945,450",,HA18856売上代金
(株)フジ標産,,,みずほ銀行山形支店,,"213,016",,裏書先東北ネヂ製造(株)
(株)松沢商会,,,第四銀行新潟駅前支店,,"935,440",,裏書先(株)小林真功商店
仙台明峰産業(株),,,七十七銀行東卸町,,"207,896",,裏書先東北ネヂ製造(株)
東北電化工業(株),,,きらやか銀行山形駅前支店,,"843,700",,裏書先河北鋼材産業(株)
北日本電材(株),,,東北銀行仙台支店,,"458,700",,裏書先(有)河北シャーリング
(株)フジ標産,,,みずほ銀行山形支店,,"172,423",,裏書先(有)プロテック仙台
(株)松沢商会,,,第四銀行新潟駅前支店,,"607,420",,裏書先(株)インスメタル
仙台明峰産業(株),,,七十七銀行東卸町,,"479,391",,裏書先東北ネヂ製造(株)
信号電材(株),,,西日本銀行大牟田支店,,"137,500",,裏書先(有)河北シャーリング
日信防災(株),,,三菱UFJ銀行秋葉原支店,,"176,000",,裏書先(株)シマキュウ
(株)郡山電機製作所,,,常陽銀行郡山支店,,"484,000",,裏書先(株)アマダ
東北電化工業(株),,,山形銀行山形駅前支店,,"1,119,250",,裏書先河北鋼材産業(株)
〃,,,山形銀行山形駅前支店,,"660,000",,裏書先(株)インスメタル
受取手形計,,,,,"13,552,046",,
河北精機,,,,,1,,備忘価額
計,,,,,,,
