"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"新和建機産業(株)","R4.6.5","R4.7.5","広島/十日市","","2784764","/","2枚"
"山陽ブロック工業(株)","R4.4.11","R4.8.12","中国/三原","","2349770","/","5枚"
"(有)福山産機サービス","R4.4.5","R4.4.25","西日本シティ/福山","","2078197","/","4枚"
"(株)イープ","R4.4.5","R.4.8.5","山口/廿日市","","1848719","/","5枚"
"中司興業(株)","R4.4.30","R4.7.31","東山口信金/中関","","1800000","/","2枚"
"兼松エンジニアリング(株)","R4.6.25","R4.6.25","四国/木屋橋","","1705000","/","1枚"
"富士エンジニアリング(株)","R4.4.30","R4.6.30","伊予/石井","","1557081","/","3枚"
"大下産業(株)","R4.4.30","R4.6.30","広島/衹園","","1555356","/","３枚"
"みのる産業(株)","R4.4.15","R4.4.15","中国/赤磐","","1535120","/","１枚"
"小計","","","","","17214007","",""
