振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
大丸工業(株),4・3・10,4・7・10,三菱UFJ銀行,秋葉原駅前支店,"1,012,022",,
大丸工業(株),4・4・10,4・8・10,三菱UFJ銀行,秋葉原駅前支店,"832,590",,
(株)大進工業研究所,4・4・25,4・8・25,三井住友銀行,大正区支店,"1,644,256",,
(株)やまびこ,4・4・26,4・8・26,横浜銀行,新宿支店,"10,000,000",,
(株)やまびこ,4・4・26,4・8・26,横浜銀行,新宿支店,"10,000,000",,
(株)やまびこ,4・4・26,4・8・26,横浜銀行,新宿支店,"3,154,253",,
日本ユニット(株),4・4・30,4・8・31,横浜銀行,茅ヶ崎支店,"1,794,234",,
シンワPKG(株),4・1・20,4・6・6,三井住友銀行,千住支店,"3,000,000",,
シンワPKG(株),4・1・20,4・6・6,三井住友銀行,千住支店,"336,131",,
(株)日伝,4・3・31,4・7・31,みずほ銀行,南船場支店,"1,553,429",,
大東ポンプ工業(株),4・4・10,4・7・20,りそな銀行,日暮里支店,"1,465,921",,
(株)サンエー,4・4・15,4・8・15,もみじ銀行,三次支店,"5,000,000",,
(株)サンエー,4・4・15,4・8・15,もみじ銀行,三次支店,"249,407",,
(株)東北総合研究社,4・3・20,4・8・5,東北銀行,湊支店,"1,284,836",,
(株)東北総合研究社,4・4・20,4・9・5,東北銀行,湊支店,"2,468,459",,
(株)フジ,4・3・10,4・7・31,八千代銀行,渋谷支店,"1,483,419",,
(株)フジ,4・4・11,4・8・31,八千代銀行,渋谷支店,"2,064,674",,
東京パーツ(株),4・4・25,4・9・10,三井住友銀行,府中支店,"3,000,000",,
東京パーツ(株),4・4・25,4・9・10,三井住友銀行,府中支店,"231,000",,
(株)サカエ,4・4・5,4・8・20,三菱UFJ銀行,浜松支店,"2,195,391",,
三昌工業(株),4・3・20,4・7・20,三菱UFJ銀行,世田谷支店,"1,368,662",,
三昌工業(株),4・4・20,4・8・20,三菱UFJ銀行,世田谷支店,"1,869,882",,
(株)ヤマト環境技術研究所,4・3・10,4・7・10,みずほ銀行,日本橋支店,"1,047,475",,
合計,,,,,,,
