"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"加茂川啓明電機(株)","4.12.15","5.4.30","北國銀行","大阪支店","1430000","",""
"加茂川啓明電機(株)","5.1.16","5.5.31","北國銀行","大阪支店","1430000","",""
"山陽三菱電機販売(株)","5.3.20","5.7.31","山口銀行","広島支店","3000000","",""
"山陽三菱電機販売(株)","5.2.20","5.6.30","山口銀行","広島支店","1055596","",""
"山陰三菱電機機器販売(株)","5.2.10","5.5.31","山陰合同銀行","北支店","1795840","",""
"山陰三菱電機機器販売(株)","5.3.10","5.6.30","山陰合同銀行","北支店","1760000","",""
"長野三菱電機機器販売(株)本社","5.1.16","5.5.10","八十二銀行","松本営業部","2958890","",""
"長野三菱電機機器販売(株)本社","5.3.15","5.7.10","八十二銀行","松本営業部","1806530","",""
"四国三菱電機販売(株)","5.3.31","5.6.30","百十四銀行","本店営業部","1997171","",""
"四国三菱電機販売(株)","5.2.28","5.5.31","百十四銀行","本店営業部","1852400","",""
"北菱電興(株)","4.12.28","5.4.30","北國銀行","本店営業部","1219084","",""
"北菱電興(株)","5.3.31","5.7.31","北國銀行","本店営業部","1186585","",""
"(株)エムズ","5.1.10","5.4.10","三井住友銀行","堂島支店","1534500","",""
"(株)エムズ","5.3.10","5.6.10","三井住友銀行","堂島支店","1312146","",""
"エレックヒシキ(株)","4.12.28","5.4.30","愛知銀行","藤ヶ丘支店","1000000","",""
"その他19件","","","","","11792077","",""
"合計","","","","","37130819","",""
