"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"イーダ(株)","令5.5.31","令5.8.31","三井住友","浅草橋","1370894","",""
"〃","令5.6.30","令5.10.2","〃","〃","1269639","",""
"〃","令5.7.31","令5.10.31","〃","〃","1272618","",""
"(株)上原","令5.6.20","令5.8.20","三菱UFJ","上野","939402","","電子債権"
"〃","令5.7.20","令5.9.20","〃","〃","1541525","","〃"
"江戸川陶器製造(株)","令5.5.31","令5.8.31","三菱UFJ","小岩","3862482","",""
"〃","令5.6.30","令5.9.30","〃","〃","1862212","",""
"〃","令5.7.31","令5.10.31","〃","〃","740336","",""
"菅公工業(株)","令5.4.20","令5.8.10","みずほ","雷門","755207","",""
"〃","令5.5.24","令5.9.10","〃","〃","979863","",""
"〃","令5.6.20","令5.10.10","〃","〃","438035","",""
"〃","令5.7.20","令5.11.10","〃","〃","912591","",""
"スーパーバッグ(株)","令5.5.24","令5.8.25","みずほ","丸の内中央","2196060","","電子債権"
"〃","令5.6.23","令5.9.25","みずほ","丸の内中央","858146","","〃"
"〃","令5.7.25","令5.10.25","みずほ","丸の内中央","861562","","〃"
"セロン工業(株)","令5.4.25","令5.8.23","みずほ","渋谷中央","264713","",""
"〃","令5.4.25","令5.9.23","〃","〃","264308","",""
"〃","令5.5.31","令5.10.23","〃","〃","307464","",""
"〃","令5.5.31","令5.11.23","〃","〃","300000","",""
"〃","令5.6.30","令5.11.15","〃","〃","295489","",""
"(株)東京堂","令5.5.31","令5.8.10","三菱UFJ","四谷","670000","","セロン工業(株)廻し手形"
"〃","令5.4.30","令5.9.8","〃","〃","520000","","〃"
