"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"ハピネスデンキ(株)","5.1.31","5.5.25","三菱東京UFJ銀行","三田支店","12310000","",""
"(株)栄和電機","5.4.20","5.7.5","高知銀行","北支店","4941420","",""
"(株)ミゾタ","5.3.25","5.5.25","佐賀銀行","本店営業部","4070000","",""
"開成工業(株)","5.3.20","5.7.5","肥後銀行","堀川支店","3000000","",""
"(株)エースプランナー","5.2.28","5.6.30","尼崎信用金庫","西部庫支店","2882000","",""
"(株)栄和電機","5.1.20","5.5.5","高知銀行","北支店","2647000","",""
"(株)栄和電機","5.3.20","5.7.5","高知銀行","北支店","2285000","",""
"西電興産(株)","5.3.31","5.8.5","福岡銀行","古賀支店","1925000","",""
"(株)栄和電機","5.2.20","5.6.5","高知銀行","北支店","1562000","",""
"その他12件","","","","","6531985","",""
"合計","","","","","42154405","",""
