振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
松坂興産(株),4・9・21,5・1・31,百五銀行,松坂支店,"659,780",きらやか銀行荒砥支店,シンコー通商(株)
割引手形計,,,,,"120,442,243",,
新興ランデック(株),4・6・5,4・10・10,東邦銀行,平野支店,"78,802",,
大林道路(株),4・8・25,4・10・8,三菱UFJ銀行,日比谷支店,"310,000",,(株)黒澤技建
イシグロ(株),4・9・3,5・2・11,同上,八重洲通支店,"4,125,696",,シンコー通商(株)
新興ランデック(株),4・9・5,5・11・10,東邦銀行,平野支店,"5,000,000",,
大林道路(株),4・9・15,4・11・8,三菱UFJ銀行,日比谷支店,"550,000",,(株)黒澤技建
升川建設(株),4・9・26,5・1・10,荘内銀行,河北支店,"529,870",,
仙台東商事(株),4・9・30,4・12・31,宮城第一信金,宮城野支店,"5,000,000",,
同上,4・9・30,4・12・31,同上,同上,"4,234,390",,
山形建設(株),4・9・30,5・1・10,山形銀行,本店営業部,"940,000",,
村山建設(株),4・9・30,5・1・10,きらやか銀行,宮宿支店,"477,000",,
新生興産(株),4・9・30,5・1・12,商工中金,神田支店,"1,045,880",,
(株)大林組,4・9・30,5・1・15,三菱UFJ銀行,東京営業部,"3,900,000",,
日建工学(株),4・9・30,5・1・31,同上,新宿新都心支店,"5,000,000",,
同上,4・9・30,5・1・31,同上,同上,"190,676",,
同上,4・9・30,5・1・31,同上,同上,"4,095,736",,シンコー通商(株)
千代田鋼材(株),4・9・30,5・1・31,三菱UFJ銀行,新富町支店,"655,710",,
(株)畑山,4・9・30,5・1・31,鶴岡信金,若竹町支店,"5,000,000",,
同上,4・9・30,5・1・31,同上,同上,"686,458",,
(株)五十嵐商会,4・9・30,5・1・31,七十七銀行,新伝馬町支店,"997,832",,シンコー通商
小計,,,,,"43,477,830",,
合計,,,,,,,
