"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(有)大橋","令5.3.31","令5.7.31","名古屋銀行","岡崎南支店","220000","5/22阪和工材",""
"(有)大橋","令5.3.31","令5.7.31","中京銀行","笠寺支店","186263","5/22阪和工材",""
"(株)日鐵商会","令5.2.28","令5.7.5","瀬戸信用金庫","守山支店","752978","5/22阪和工材",""
"(株)日鐵商会","令5.3.20","令5.7.26","名古屋銀行","小田井支店","500000","5/31太華工業",""
"ミヅホ工業(株)","令5.4.25","令5.7.25","岐阜信用金庫","楠町支店","300000","6/20阪和工材",""
"(株)キコ・ステンレス","令5.3.31","令5.7.25","北陸銀行","渋谷支店","3000000","6/20秀和通商",""
"兼岩(株)","令5.3.15","令5.7.31","瀬戸信用金庫","名古屋支店","388278","5/22阪和工材",""
"(株)ミツヤ","令5.3.15","令5.7.18","三井住友銀行","名古屋支店","1891851","6/20阪和工材",""
"(株)神明工業","令5.3.15","令5.7.17","三井住友銀行","新大阪支店","3360000","5/31太華工業",""
"(株)神明工業","令5.3.20","令5.7.25","京都信用金庫","茨木支店","2244596","6/20豊商",""
"(株)神明工業","令5.3.31","令5.7.31","大阪シティ信用金","住道支店","1621289","6/20秀和通商",""
"(株)神明工業","令5.4.15","令5.7.31","尼崎信用金庫","潮江支店","1406581","6/20秀和通商",""
"(株)ダイキスチール","令5.4.20","令5.7.20","大垣共立銀行","笠松支店","399996","5/31太華工業",""
"(有)大橋","令5.4.28","令5.8.31","名古屋銀行","岡崎南支店","468000","6/20豊商",""
"(株)カノークス","令5.5.22","令5.8.31","三菱UFJ銀行","名古屋駅前支店","352946","6/20豊商",""
"兼岩(株)","令5.5.22","令5.7.20","大垣共立銀行","藤江支店","350000","6/20阪和工材",""
"","","裏書手形計","","","217185369","",""
"計","","","","","605444223","",""
