"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)ワキタ","R4.4.15","R4.5.15","三菱UFJ/中之島","","13193563","","4枚"
"美建工業(株)","R4.4.21","R4.7.31","山陰合同/出雲","","10906000","","7枚"
"知光建材(有)","R4.4.5","R4.8.5","笠岡信組/東","","10501854","","5枚"
"デンヨー興産(株)","R4.4.5","R4.9.5","みすほ/京橋","","10092275","","6枚"
"(株)あき建機","R4.4.10","R4.8.10","広島/古市","","7823264","","6枚"
"レント・サービス","R4.1.3","R4.7.31","もみじ/緑井","","6181120","","4枚"
"(株)斎藤商会","R4.4.30","R4.7.31","広島/加計","","6019066","","4枚"
"(株)タガワ","R4.5.31","R4.7.31","もみじ/緑井","","5652987","","4枚"
"日本マーツ(株)","R4.4.5","R4.9.5","呉信金/黒瀬西","","5638394","","5枚"
"小計","","","","","76008523","",""
