file_path,original_file_name,page_index,row_number,original_header_text,column_1_value,column_2_value,column_3_value,column_4_value,column_5_value,column_6_value,column_7_value,column_8_value,column_9_value,column_10_value,column_11_value,column_12_value,column_13_value,column_14_value,column_15_value,column_16_value,column_17_value,column_18_value,column_19_value,column_20_value
,,,0,account,account,amount_0,,,,,,,,,,,,,,,,,,
,,,1,(株主資本),(株主資本),,,,,,,,,,,,,,,,,,,
,,,2,資本金当期首残高,資本金当期首残高,"5,000,000",,,,,,,,,,,,,,,,,,
,,,3,当期末残高,当期末残高,"5,000,000",,,,,,,,,,,,,,,,,,
,,,4,利益剰余金,利益剰余金,,,,,,,,,,,,,,,,,,,
,,,5,その他利益剰余金,その他利益剰余金,,,,,,,,,,,,,,,,,,,
,,,6,繰越利益剰余金当期首残高,繰越利益剰余金当期首残高,"29,744,309",,,,,,,,,,,,,,,,,,
,,,7,当期変動額当期純利益金額,当期変動額当期純利益金額,"1,233,616",,,,,,,,,,,,,,,,,,
,,,8,当期末残高,当期末残高,"30,977,925",,,,,,,,,,,,,,,,,,
,,,9,利益剰余金合計当期首残高,利益剰余金合計当期首残高,"29,744,309",,,,,,,,,,,,,,,,,,
,,,10,当期変動額,当期変動額,"1,233,616",,,,,,,,,,,,,,,,,,
,,,11,当期末残高,当期末残高,"30,977,925",,,,,,,,,,,,,,,,,,
,,,12,株主資本合計当期首残高,株主資本合計当期首残高,"34,744,309",,,,,,,,,,,,,,,,,,
,,,13,当期変動額,当期変動額,"1,233,616",,,,,,,,,,,,,,,,,,
,,,14,当期末残高,当期末残高,"35,977,925",,,,,,,,,,,,,,,,,,
,,,15,純資産の部合計当期首残高,純資産の部合計当期首残高,"34,744,309",,,,,,,,,,,,,,,,,,
,,,16,当期変動額,当期変動額,"1,233,616",,,,,,,,,,,,,,,,,,
,,,17,当期末残高,当期末残高,"35,977,925",,,,,,,,,,,,,,,,,,
