ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250723085602440,1,1,001,000249,202507,,,20241003152909000	2	1	411	837465	202501	日新運輸工業(株)	日新運輸工業(株)	7092219082	5.3.20	5.3.20	5.5.5	5.5.5	3000000	3000000	山口銀行	山口銀行	長府支店	長府支店				,20241003152909000	2	1	411	837465	202501	日新運輸工業(株)	日新運輸工業(株)	7092219082	5.3.20	5.3.20	5.5.5	5.5.5	3000000	3000000	山口銀行	山口銀行	長府支店	長府支店				,2102,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250723085602440,1,2,001,000249,202507,,,20241003152909000	2	2	411	837465	202501	日新運輸工業(株)	日新運輸工業(株)	7092219082	5.3.20	5.3.20	5.5.5	5.5.5	30500	30500	山口銀行	山口銀行	長府支店	長府支店				,20241003152909000	2	2	411	837465	202501	日新運輸工業(株)	日新運輸工業(株)	7092219082	5.3.20	5.3.20	5.5.5	5.5.5	30500	30500	山口銀行	山口銀行	長府支店	長府支店				,2103,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250723085602440,1,3,001,000249,202507,,,20241003152909000	2	3	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.1.10	5.1.10	5.5.10	5.5.10	192500	192500	三井住友銀行	三井住友銀行	備後町支店	備後町支店				,20241003152909000	2	3	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.1.10	5.1.10	5.5.10	5.5.10	192500	192500	三井住友銀行	三井住友銀行	備後町支店	備後町支店				,2104,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250723085602440,1,4,001,000249,202507,,,20241003152909000	2	4	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.2.10	5.2.10	5.6.10	5.6.10	3000000	3000000	三菱UFJ銀行	三菱UFJ銀行	上六支店	上六支店				,20241003152909000	2	4	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.2.10	5.2.10	5.6.10	5.6.10	3000000	3000000	三菱UFJ銀行	三菱UFJ銀行	上六支店	上六支店				,2105,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250723085602440,1,5,001,000249,202507,,,20241003152909000	2	5	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.2.10	5.2.10	5.6.10	5.6.10	300000	300000	三菱UFJ銀行	三菱UFJ銀行	上六支店	上六支店				,20241003152909000	2	5	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.2.10	5.2.10	5.6.10	5.6.10	300000	300000	三菱UFJ銀行	三菱UFJ銀行	上六支店	上六支店				,2106,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250723085602440,1,6,001,000249,202507,,,20241003152909000	2	6	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.3.10	5.3.10	5.7.10	5.7.10	3000000	3000000	三井住友銀行	三井住友銀行	備後町支店	備後町支店				,20241003152909000	2	6	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.3.10	5.3.10	5.7.10	5.7.10	3000000	3000000	三井住友銀行	三井住友銀行	備後町支店	備後町支店				,2107,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250723085602440,1,7,001,000249,202507,,,20241003152909000	2	7	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.3.10	5.3.10	5.7.10	5.7.10	300000	300000	三井住友銀行	三井住友銀行	備後町支店	備後町支店				,20241003152909000	2	7	411	837465	202501	日本汽力(株)	日本汽力(株)	9776407489	5.3.10	5.3.10	5.7.10	5.7.10	300000	300000	三井住友銀行	三井住友銀行	備後町支店	備後町支店				,2108,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250723085602440,1,8,001,000249,202507,,,20241003152909000	2	8	411	837465	202501	千代一工業(株)	千代一工業(株)	5140993317	4.12.28	4.12.28	5.4.5	5.4.5	300000	300000	商工組合中央金庫	商工組合中央金庫	横浜西口支店	横浜西口支店			ビサン機工(有)	ビサン機工(有),20241003152909000	2	8	411	837465	202501	千代一工業(株)	千代一工業(株)	5140993317	4.12.28	4.12.28	5.4.5	5.4.5	300000	300000	商工組合中央金庫	商工組合中央金庫	横浜西口支店	横浜西口支店			ビサン機工(有)	ビサン機工(有),2109,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250723085602440,1,9,001,000249,202507,,,20241003152909000	2	9	411	837465	202501	光洋機械産業(株)	光洋機械産業(株)	4777618254	5.1.20	5.1.20	5.5.20	5.5.20	2000000	2000000	りそな銀行	りそな銀行	大阪営業部	大阪営業部			ビサン機工(有)	ビサン機工(有),20241003152909000	2	9	411	837465	202501	光洋機械産業(株)	光洋機械産業(株)	4777618254	5.1.20	5.1.20	5.5.20	5.5.20	2000000	2000000	りそな銀行	りそな銀行	大阪営業部	大阪営業部			ビサン機工(有)	ビサン機工(有),2110,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250723085602440,1,10,001,000249,202507,,,20241003152909000	2	10	411	837465	202501	光洋機械産業(株)	光洋機械産業(株)	4777618254	5.1.20	5.1.20	5.5.20	5.5.20	2000000	2000000	りそな銀行	りそな銀行	大阪営業部	大阪営業部			ビサン機工(有)	ビサン機工(有),20241003152909000	2	10	411	837465	202501	光洋機械産業(株)	光洋機械産業(株)	4777618254	5.1.20	5.1.20	5.5.20	5.5.20	2000000	2000000	りそな銀行	りそな銀行	大阪営業部	大阪営業部			ビサン機工(有)	ビサン機工(有),2111,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
