ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250723085603490,1,1,001,003003,202507,,,20241008114554000	2	1	441	892208	202204	ツチダ産業(株)	ツチダ産業(株)	8128692700	..	..	..	..	14369822	14369822								,20241008114554000	2	1	441	892208	202204	ツチダ産業(株)	ツチダ産業(株)	8128692700	..	..	..	..	14369822	14369822								,2804,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250723085603490,1,2,001,003003,202507,,,20241008114554000	2	2	441	892208	202204	(株)成伸工業	(株)成伸工業	0579811855	..	..	..	..	5000000	5000000								,20241008114554000	2	2	441	892208	202204	(株)成伸工業	(株)成伸工業	0579811855	..	..	..	..	5000000	5000000								,2805,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250723085603490,1,3,001,003003,202507,,,20241008114554000	2	3	441	892208	202204	赤石住設(株)	赤石住設(株)	4038034721	..	..	..	..	3514148	3514148								,20241008114554000	2	3	441	892208	202204	赤石住設(株)	赤石住設(株)	4038034721	..	..	..	..	3514148	3514148								,2806,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250723085603490,1,4,001,003003,202507,,,20241008114554000	2	4	441	892208	202204	(有)新光製作所	(有)新光製作所	7595444804	..	..	..	..	2798750	2798750								,20241008114554000	2	4	441	892208	202204	(有)新光製作所	(有)新光製作所	7595444804	..	..	..	..	2798750	2798750								,2807,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250723085603490,1,5,001,003003,202507,,,20241008114554000	2	5	441	892208	202204	特殊電極(株)	特殊電極(株)	9745037572	..	..	..	..	2511600	2511600								,20241008114554000	2	5	441	892208	202204	特殊電極(株)	特殊電極(株)	9745037572	..	..	..	..	2511600	2511600								,2808,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250723085603490,1,6,001,003003,202507,,,20241008114554000	2	6	441	892208	202204	(有)塩崎製作所	(有)塩崎製作所	7624827052	..	..	..	..	1810411	1810411								,20241008114554000	2	6	441	892208	202204	(有)塩崎製作所	(有)塩崎製作所	7624827052	..	..	..	..	1810411	1810411								,2809,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250723085603490,1,7,001,003003,202507,,,20241008114554000	2	7	441	892208	202204	(有)塩崎工業	(有)塩崎工業	0403346984	..	..	..	..	1482892	1482892								,20241008114554000	2	7	441	892208	202204	(有)塩崎工業	(有)塩崎工業	0403346984	..	..	..	..	1482892	1482892								,2810,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250723085603490,1,8,001,003003,202507,,,20241008114554000	2	8	441	892208	202204	舟橋鉄工(有)	舟橋鉄工(有)	2345865949	..	..	..	..	1470000	1470000								,20241008114554000	2	8	441	892208	202204	舟橋鉄工(有)	舟橋鉄工(有)	2345865949	..	..	..	..	1470000	1470000								,2811,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250723085603490,1,9,001,003003,202507,,,20241008114554000	2	9	441	892208	202204	四国クレー(株)	四国クレー(株)	9878293241	..	..	..	..	1086464	1086464								,20241008114554000	2	9	441	892208	202204	四国クレー(株)	四国クレー(株)	9878293241	..	..	..	..	1086464	1086464								,2812,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250723085603490,1,10,001,003003,202507,,,20241008114554000	2	10	441	892208	202204	共和工業(株)	共和工業(株)	0699190031	..	..	..	..	1079595	1079595								,20241008114554000	2	10	441	892208	202204	共和工業(株)	共和工業(株)	0699190031	..	..	..	..	1079595	1079595								,2813,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
