ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250723085603510,1,1,001,003007,202507,,,20250421113700000	2	1	041	713423	202411	日本キャスタブル工業(株)	日本キャスタブル工業(株)	0963825943	R5.12.25	R5.12.25	R6.6.1	R6.6.1	275370	275370	電子手形	電子手形					0	0,20250421113700000	2	1	041	713423	202411	日本キャスタブル工業(株)	日本キャスタブル工業(株)	0963825943	R5.12.25	R5.12.25	R6.6.1	R6.6.1	275370	275370	電子手形	電子手形					0	0,2714,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250723085603510,1,2,001,003007,202507,,,20250421113700000	2	2	041	713423	202411	(株)ユノス	(株)ユノス	5640035044	R5.10.20	R5.10.20	R6.1.22	R6.1.22	119482	119482	電子手形	電子手形					0	0,20250421113700000	2	2	041	713423	202411	(株)ユノス	(株)ユノス	5640035044	R5.10.20	R5.10.20	R6.1.22	R6.1.22	119482	119482	電子手形	電子手形					0	0,2715,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250723085603510,1,3,001,003007,202507,,,20250421113700000	2	3	041	713423	202411	(株)ユノス	(株)ユノス	5640035044	R5.11.20	R5.11.20	R6.2.20	R6.2.20	168278	168278	電子手形	電子手形					0	0,20250421113700000	2	3	041	713423	202411	(株)ユノス	(株)ユノス	5640035044	R5.11.20	R5.11.20	R6.2.20	R6.2.20	168278	168278	電子手形	電子手形					0	0,2716,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250723085603510,1,4,001,003007,202507,,,20250421113700000	2	4	041	713423	202411	(株)ユノス	(株)ユノス	5640035044	R5.12.20	R5.12.20	R6.3.21	R6.3.21	247632	247632	電子手形	電子手形					0	0,20250421113700000	2	4	041	713423	202411	(株)ユノス	(株)ユノス	5640035044	R5.12.20	R5.12.20	R6.3.21	R6.3.21	247632	247632	電子手形	電子手形					0	0,2717,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250723085603510,1,5,001,003007,202507,,,20250421113700000	2	5	041	713423	202411	高田化学(株)	高田化学(株)	0432819498	R5.9.19	R5.9.19	R6.1.10	R6.1.10	2271042	2271042	商工組合中央金庫広島支店	商工組合中央金庫広島支店					0	0,20250421113700000	2	5	041	713423	202411	高田化学(株)	高田化学(株)	0432819498	R5.9.19	R5.9.19	R6.1.10	R6.1.10	2271042	2271042	商工組合中央金庫広島支店	商工組合中央金庫広島支店					0	0,2718,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250723085603510,1,6,001,003007,202507,,,20250421113700000	2	6	041	713423	202411	高田化学(株)	高田化学(株)	0432819498	R5.11.17	R5.11.17	R5.12.20	R5.12.20	1073020	1073020	商工組合中央金庫広島支店	商工組合中央金庫広島支店					0	0,20250421113700000	2	6	041	713423	202411	高田化学(株)	高田化学(株)	0432819498	R5.11.17	R5.11.17	R5.12.20	R5.12.20	1073020	1073020	商工組合中央金庫広島支店	商工組合中央金庫広島支店					0	0,2719,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250723085603510,1,7,001,003007,202507,,,20250421113700000	2	7	041	713423	202411	高田化学(株)	高田化学(株)	0432819498	R5.12.18	R5.12.18	R6.4.10	R6.4.10	784222	784222	商工組合中央金庫広島支店	商工組合中央金庫広島支店					0	0,20250421113700000	2	7	041	713423	202411	高田化学(株)	高田化学(株)	0432819498	R5.12.18	R5.12.18	R6.4.10	R6.4.10	784222	784222	商工組合中央金庫広島支店	商工組合中央金庫広島支店					0	0,2720,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250723085603510,1,8,001,003007,202507,,,20250421113700000	2	8	041	713423	202411	錦海化学(株)	錦海化学(株)	5016804492	R5.8.31	R5.8.31	R5.12.31	R5.12.31	503085	503085	電子手形	電子手形					0	0,20250421113700000	2	8	041	713423	202411	錦海化学(株)	錦海化学(株)	5016804492	R5.8.31	R5.8.31	R5.12.31	R5.12.31	503085	503085	電子手形	電子手形					0	0,2721,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250723085603510,1,9,001,003007,202507,,,20250421113700000	2	9	041	713423	202411	JOHNAN(株)	JOHNAN(株)	1280168672	R5.12.20	R5.12.20	R6.4.18	R6.4.18	307120	307120	電子手形	電子手形					0	0,20250421113700000	2	9	041	713423	202411	JOHNAN(株)	JOHNAN(株)	1280168672	R5.12.20	R5.12.20	R6.4.18	R6.4.18	307120	307120	電子手形	電子手形					0	0,2722,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250723085603510,1,10,001,003007,202507,,,20250421113700000	2	10	041	713423	202411	一建設(株)	一建設(株)	4523311271	R5.9.20	R5.9.20	R6.1.20	R6.1.20	846780	846780	電子手形	電子手形					0	0,20250421113700000	2	10	041	713423	202411	一建設(株)	一建設(株)	4523311271	R5.9.20	R5.9.20	R6.1.20	R6.1.20	846780	846780	電子手形	電子手形					0	0,2723,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
