ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250723085602460,1,1,001,000251,202507,,,20250520150838000	2	1	061	633196	202412	四国化工機(株)	四国化工機(株)	0819090361					19111186	19111186							4枚	4枚,20250520150838000	2	1	061	633196	202412	四国化工機(株)	四国化工機(株)	0819090361					19111186	19111186							4枚	4枚,2942,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250723085602460,1,2,001,000251,202507,,,20250520150838000	2	2	061	633196	202412	(株)豊通テック	(株)豊通テック	6788915763					12384332	12384332							1枚	1枚,20250520150838000	2	2	061	633196	202412	(株)豊通テック	(株)豊通テック	6788915763					12384332	12384332							1枚	1枚,2943,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250723085602460,1,3,001,000251,202507,,,20250520150838000	2	3	061	633196	202412	港産業(株)港テクノシステムカンパニー	港産業(株)港テクノシステムカンパニー	7566602274					6460271	6460271							2枚	2枚,20250520150838000	2	3	061	633196	202412	港産業(株)港テクノシステムカンパニー	港産業(株)港テクノシステムカンパニー	7566602274					6460271	6460271							2枚	2枚,2944,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250723085602460,1,4,001,000251,202507,,,20250520150838000	2	4	061	633196	202412	(株)十川ゴム	(株)十川ゴム	0116661046					5775000	5775000							1枚	1枚,20250520150838000	2	4	061	633196	202412	(株)十川ゴム	(株)十川ゴム	0116661046					5775000	5775000							1枚	1枚,2945,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250723085602460,1,5,001,000251,202507,,,20250520150838000	2	5	061	633196	202412	マルイテック(株)	マルイテック(株)	3814006839					2365000	2365000							1枚	1枚,20250520150838000	2	5	061	633196	202412	マルイテック(株)	マルイテック(株)	3814006839					2365000	2365000							1枚	1枚,2946,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250723085602460,1,6,001,000251,202507,,,20250520150838000	2	6	061	633196	202412	(株)ニッケ機械製作所	(株)ニッケ機械製作所	3259024847					2088625	2088625							2枚	2枚,20250520150838000	2	6	061	633196	202412	(株)ニッケ機械製作所	(株)ニッケ機械製作所	3259024847					2088625	2088625							2枚	2枚,2947,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250723085602460,1,7,001,000251,202507,,,20250520150838000	2	7	061	633196	202412	(株)タウシステム	(株)タウシステム	5345348801					946000	946000							1枚	1枚,20250520150838000	2	7	061	633196	202412	(株)タウシステム	(株)タウシステム	5345348801					946000	946000							1枚	1枚,2948,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250723085602460,1,8,001,000251,202507,,,20250520150838000	2	8	061	633196	202412	加茂川啓明電機(株)	加茂川啓明電機(株)	3524125277					649000	649000							1枚	1枚,20250520150838000	2	8	061	633196	202412	加茂川啓明電機(株)	加茂川啓明電機(株)	3524125277					649000	649000							1枚	1枚,2949,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250723085602460,1,9,001,000251,202507,,,20250520150838000	2	9	061	633196	202412	(株)東陽	(株)東陽	5724011231					606650	606650							1枚	1枚,20250520150838000	2	9	061	633196	202412	(株)東陽	(株)東陽	5724011231					606650	606650							1枚	1枚,2950,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250723085602460,1,10,001,000251,202507,,,20250520150838000	2	10	061	633196	202412	徳島電制(株)	徳島電制(株)	4444498677					371910	371910							1枚	1枚,20250520150838000	2	10	061	633196	202412	徳島電制(株)	徳島電制(株)	4444498677					371910	371910							1枚	1枚,2951,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
