ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250723085603190,1,1,001,000327,202507,,,20250413184323000	2	1	421	339244	202304	トーブツテクノ(株)	トーブツテクノ(株)	2611890637	5.2.20	5.2.20	5.6.20	5.6.20	464288	464288	三井住友銀行	三井住友銀行	船場支店	船場支店	静岡銀行興津支店	静岡銀行興津支店		,20250413184323000	2	1	421	339244	202304	トーブツテクノ(株)	トーブツテクノ(株)	2611890637	5.2.20	5.2.20	5.6.20	5.6.20	464288	464288	三井住友銀行	三井住友銀行	船場支店	船場支店	静岡銀行興津支店	静岡銀行興津支店		,2845,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250723085603190,1,2,001,000327,202507,,,20250413184323000	2	2	421	339244	202304	協立軽金属(株)	協立軽金属(株)	9607533945	5.2.27	5.2.27	5.6.20	5.6.20	520916	520916	同上	同上	十三支店	十三支店	同上	同上		,20250413184323000	2	2	421	339244	202304	協立軽金属(株)	協立軽金属(株)	9607533945	5.2.27	5.2.27	5.6.20	5.6.20	520916	520916	同上	同上	十三支店	十三支店	同上	同上		,2846,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250723085603190,1,3,001,000327,202507,,,20250413184323000	2	3	421	339244	202304	(株)大里	(株)大里	2479521935	5.2.28	5.2.28	5.5.31	5.5.31	131472	131472	三菱UFJ銀行	三菱UFJ銀行	神田駅前支店	神田駅前支店	同上	同上		,20250413184323000	2	3	421	339244	202304	(株)大里	(株)大里	2479521935	5.2.28	5.2.28	5.5.31	5.5.31	131472	131472	三菱UFJ銀行	三菱UFJ銀行	神田駅前支店	神田駅前支店	同上	同上		,2847,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250723085603190,1,4,001,000327,202507,,,20250413184323000	2	4	421	339244	202304	(株)オオヤマ	(株)オオヤマ	0389009943	5.2.28	5.2.28	5.6.30	5.6.30	1063040	1063040	りそな銀行	りそな銀行	布施口支店	布施口支店	同上	同上		,20250413184323000	2	4	421	339244	202304	(株)オオヤマ	(株)オオヤマ	0389009943	5.2.28	5.2.28	5.6.30	5.6.30	1063040	1063040	りそな銀行	りそな銀行	布施口支店	布施口支店	同上	同上		,2848,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250723085603190,1,5,001,000327,202507,,,20250413184323000	2	5	421	339244	202304	(株)マルエム	(株)マルエム	0575979962	5.2.28	5.2.28	5.6.30	5.6.30	828629	828629	商工組合中央金庫	商工組合中央金庫	船場支店	船場支店	同上	同上		,20250413184323000	2	5	421	339244	202304	(株)マルエム	(株)マルエム	0575979962	5.2.28	5.2.28	5.6.30	5.6.30	828629	828629	商工組合中央金庫	商工組合中央金庫	船場支店	船場支店	同上	同上		,2849,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250723085603190,1,6,001,000327,202507,,,20250413184323000	2	6	421	339244	202304	若井ホールディングス(株)	若井ホールディングス(株)	3512397885	5.2.28	5.2.28	5.7.20	5.7.20	5531180	5531180	三菱UFJ銀行	三菱UFJ銀行	今里支店	今里支店	同上	同上		,20250413184323000	2	6	421	339244	202304	若井ホールディングス(株)	若井ホールディングス(株)	3512397885	5.2.28	5.2.28	5.7.20	5.7.20	5531180	5531180	三菱UFJ銀行	三菱UFJ銀行	今里支店	今里支店	同上	同上		,2850,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250723085603190,1,7,001,000327,202507,,,20250413184323000	2	7	421	339244	202304	(株)マルエム	(株)マルエム	0575979962	5.3.3	5.3.3	5.6.30	5.6.30	595733	595733	商工組合中央金庫	商工組合中央金庫	船場支店	船場支店	同上	同上	(株)関西パーツ	(株)関西パーツ,20250413184323000	2	7	421	339244	202304	(株)マルエム	(株)マルエム	0575979962	5.3.3	5.3.3	5.6.30	5.6.30	595733	595733	商工組合中央金庫	商工組合中央金庫	船場支店	船場支店	同上	同上	(株)関西パーツ	(株)関西パーツ,2851,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250723085603190,1,8,001,000327,202507,,,20250413184323000	2	8	421	339244	202304	(株)淀川製鋼所	(株)淀川製鋼所	4503285718	5.3.3	5.3.3	5.5.1	5.5.1	355740	355740	りそな銀行	りそな銀行	大阪営業部	大阪営業部	同上	同上	同上	同上,20250413184323000	2	8	421	339244	202304	(株)淀川製鋼所	(株)淀川製鋼所	4503285718	5.3.3	5.3.3	5.5.1	5.5.1	355740	355740	りそな銀行	りそな銀行	大阪営業部	大阪営業部	同上	同上	同上	同上,2852,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250723085603190,1,9,001,000327,202507,,,20250413184323000	2	9	421	339244	202304	(株)ジューキ	(株)ジューキ	2341698254	5.3.6	5.3.6	5.7.20	5.7.20	8743478	8743478	埼玉りそな銀行	埼玉りそな銀行	北本支店	北本支店	同上	同上		,20250413184323000	2	9	421	339244	202304	(株)ジューキ	(株)ジューキ	2341698254	5.3.6	5.3.6	5.7.20	5.7.20	8743478	8743478	埼玉りそな銀行	埼玉りそな銀行	北本支店	北本支店	同上	同上		,2853,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250723085603190,1,10,001,000327,202507,,,20250413184323000	2	11	421	339244	202304	藤田螺子工業(株)	藤田螺子工業(株)	5635625537	4.12.12	4.12.12	5.4.10	5.4.10	1196589	1196589	三菱UFJ銀行	三菱UFJ銀行	柳橋支店	柳橋支店	サカモト工業(株)	サカモト工業(株)		,20250413184323000	2	11	421	339244	202304	藤田螺子工業(株)	藤田螺子工業(株)	5635625537	4.12.12	4.12.12	5.4.10	5.4.10	1196589	1196589	三菱UFJ銀行	三菱UFJ銀行	柳橋支店	柳橋支店	サカモト工業(株)	サカモト工業(株)		,2854,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
