ocr_result_id,page_no,id,jgroupid_string,cif_number,settlement_at,registration_number_original,registration_number,maker_name_original,maker_name,maker_com_code,maker_com_code_status_id,maker_comcd_relation_source_type_id,maker_exist_comcd_relation_history_id,issue_date_original,issue_date,due_date_original,due_date,paying_bank_name_original,paying_bank_name,paying_bank_code,paying_bank_branch_name_original,paying_bank_branch_name,balance_original,balance,discount_bank_name_original,discount_bank_name,discount_bank_code,description_original,description,conf_registration_number,conf_maker_name,conf_issue_date,conf_due_date,conf_balance,conf_paying_bank_name,conf_paying_bank_branch_name,conf_discount_bank_name,conf_description,coord_x_registration_number,coord_y_registration_number,coord_h_registration_number,coord_w_registration_number,coord_x_maker_name,coord_y_maker_name,coord_h_maker_name,coord_w_maker_name,coord_x_issue_date,coord_y_issue_date,coord_h_issue_date,coord_w_issue_date,coord_x_due_date,coord_y_due_date,coord_h_due_date,coord_w_due_date,coord_x_balance,coord_y_balance,coord_h_balance,coord_w_balance,coord_x_paying_bank_name,coord_y_paying_bank_name,coord_h_paying_bank_name,coord_w_paying_bank_name,coord_x_paying_bank_branch_name,coord_y_paying_bank_branch_name,coord_h_paying_bank_branch_name,coord_w_paying_bank_branch_name,coord_x_discount_bank_name,coord_y_discount_bank_name,coord_h_discount_bank_name,coord_w_discount_bank_name,coord_x_description,coord_y_description,coord_h_description,coord_w_description,row_no,insertdatetime,updatedatetime,updateuser
20250723085603330,1,1,001,000341,202507,,,20250116153718000	2	1	311	551980	202201	日特建設(株)	日特建設(株)	8238486994	5.3.27	5.3.27	5.7.25	5.7.25	940500	940500	三井住友信託	三井住友信託	芝営業部	芝営業部				,20250116153718000	2	1	311	551980	202201	日特建設(株)	日特建設(株)	8238486994	5.3.27	5.3.27	5.7.25	5.7.25	940500	940500	三井住友信託	三井住友信託	芝営業部	芝営業部				,2173,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,1,,,testuser
20250723085603330,1,2,001,000341,202507,,,20250116153718000	2	2	311	551980	202201	東陽商事(株)	東陽商事(株)	2014094929	5.3.31	5.3.31	5.8.31	5.8.31	423874	423874	でんさいネット	でんさいネット						,20250116153718000	2	2	311	551980	202201	東陽商事(株)	東陽商事(株)	2014094929	5.3.31	5.3.31	5.8.31	5.8.31	423874	423874	でんさいネット	でんさいネット						,2174,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,,,testuser
20250723085603330,1,3,001,000341,202507,,,20250116153718000	2	3	311	551980	202201	(株)トーメック	(株)トーメック	7696788496	5.3.31	5.3.31	5.8.31	5.8.31	1398100	1398100	でんさいネット	でんさいネット						,20250116153718000	2	3	311	551980	202201	(株)トーメック	(株)トーメック	7696788496	5.3.31	5.3.31	5.8.31	5.8.31	1398100	1398100	でんさいネット	でんさいネット						,2175,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3,,,testuser
20250723085603330,1,4,001,000341,202507,,,20250116153718000	2	4	311	551980	202201	巴機械工業(株)	巴機械工業(株)	2263851385	5.3.31	5.3.31	5.7.31	5.7.31	524040	524040	でんさいネット	でんさいネット						,20250116153718000	2	4	311	551980	202201	巴機械工業(株)	巴機械工業(株)	2263851385	5.3.31	5.3.31	5.7.31	5.7.31	524040	524040	でんさいネット	でんさいネット						,2176,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4,,,testuser
20250723085603330,1,5,001,000341,202507,,,20250116153718000	2	5	311	551980	202201	新日本建販(株)	新日本建販(株)	1831628832	5.3.31	5.3.31	5.8.31	5.8.31	285340	285340	でんさいネット	でんさいネット						,20250116153718000	2	5	311	551980	202201	新日本建販(株)	新日本建販(株)	1831628832	5.3.31	5.3.31	5.8.31	5.8.31	285340	285340	でんさいネット	でんさいネット						,2177,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,5,,,testuser
20250723085603330,1,6,001,000341,202507,,,20250116153718000	2	6	311	551980	202201	三信建設工業(株)	三信建設工業(株)	8180316676	5.4.5	5.4.5	5.8.3	5.8.3	133100	133100	三菱UFJ	三菱UFJ	飯田橋	飯田橋				,20250116153718000	2	6	311	551980	202201	三信建設工業(株)	三信建設工業(株)	8180316676	5.4.5	5.4.5	5.8.3	5.8.3	133100	133100	三菱UFJ	三菱UFJ	飯田橋	飯田橋				,2178,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,6,,,testuser
20250723085603330,1,7,001,000341,202507,,,20250116153718000	2	7	311	551980	202201	(株)日東テクノ・グループ	(株)日東テクノ・グループ	7721985316	5.4.5	5.4.5	5.8.3	5.8.3	800250	800250	三菱UFJ	三菱UFJ	飯田橋	飯田橋				,20250116153718000	2	7	311	551980	202201	(株)日東テクノ・グループ	(株)日東テクノ・グループ	7721985316	5.4.5	5.4.5	5.8.3	5.8.3	800250	800250	三菱UFJ	三菱UFJ	飯田橋	飯田橋				,2179,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,7,,,testuser
20250723085603330,1,8,001,000341,202507,,,20250116153718000	2	8	311	551980	202201	大和電業(株)	大和電業(株)	0839936234	5.4.20	5.4.20	5.8.6	5.8.6	520000	520000	でんさいネット	でんさいネット						,20250116153718000	2	8	311	551980	202201	大和電業(株)	大和電業(株)	0839936234	5.4.20	5.4.20	5.8.6	5.8.6	520000	520000	でんさいネット	でんさいネット						,2180,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,8,,,testuser
20250723085603330,1,9,001,000341,202507,,,20250116153718000	2	9	311	551980	202201	(株)カンツール	(株)カンツール	6064735959	5.4.20	5.4.20	5.7.31	5.7.31	143022	143022	みずほ	みずほ	世田谷	世田谷				,20250116153718000	2	9	311	551980	202201	(株)カンツール	(株)カンツール	6064735959	5.4.20	5.4.20	5.7.31	5.7.31	143022	143022	みずほ	みずほ	世田谷	世田谷				,2181,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,9,,,testuser
20250723085603330,1,10,001,000341,202507,,,20250116153718000	2	10	311	551980	202201	産機商事(株)	産機商事(株)	4209978963	5.4.20	5.4.20	5.9.30	5.9.30	304095	304095	大光	大光	川口	川口				,20250116153718000	2	10	311	551980	202201	産機商事(株)	産機商事(株)	4209978963	5.4.20	5.4.20	5.9.30	5.9.30	304095	304095	大光	大光	川口	川口				,2182,30,30,20,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,10,,,testuser
