"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"井工業株式会社","令4.3.31","令4.8.1","伊予銀行","倉敷支店","5233048","",""
"〃","令4.4.28","令4.8.31","〃","〃","2310893","",""
"〃","令4.5.31","令4.9.30","〃","〃","1992521","",""
"〃","令4.7.31","令4.11.30","〃","〃","2872651","",""
"株式会社ニッテツ","令4.3.31","令4.8.1","広島信用金庫","横川支店","2541170","",""
"〃","令4.4.30","令4.8.31","〃","〃","2443824","",""
"〃","令4.5.31","令4.9.30","〃","〃","1714692","",""
"〃","令4.6.30","令4.10.31","〃","〃","1374210","",""
"〃","令4.7.31","令4.11.30","〃","〃","1104750","",""
"ヒルタ工業","令4.3.31","令4.8.1","中国銀行","総社支店","1252841","",""
"〃","令4.4.28","令4.8.31","広島銀行","福山営業本部","828655","",""
"〃","令4.7.29","令7.11.30","中国銀行","総社支店","929446","",""
"旭金属工業株式会社","令4.3.31","令4.8.1","玉島信用金庫","勇崎支店","2686783","",""
"〃","令4.4.30","令4.8.31","〃","〃","1658036","",""
"〃","令4.5.31","令4.9.30","〃","〃","1780585","",""
"〃","令4.6.30","令4.10.31","〃","〃","1395259","",""
"〃","令4.7.31","令4.11.30","〃","〃","2889988","",""
"合計","","","","","35009352","",""
