"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"日本鋳鉄管株式会社","5.4.28","5.8.31","三菱UFJ銀行","八重洲通支店","3875520","","電子記録債権"
"日本ヴィクトリック株式会社","5.4.28","5.8.31","三菱UFJ銀行","日比谷支店","699736","","電子記録償権"
"株武会社川西水道機器","5.5.25","5.8.31","中国銀行","高松支店","1553310","","電子記録債権"
"冨士機材株式会社","5.4.20","5.9.1","三菱UFJ銀行","新富町支店","3029683","","電子記録債権"
"渡辺パイプ株式会社","5.4.25","5.9.1","三井住友銀行","東京中央支店","1790612","","電子記録債権"
"株式会社フソウ","5.3.31","5.9.5","百十四銀行","本店営業部","192599","","電子記録債権"
"三條機材株式会社","5.4.30","5.9.5","みずほ銀行","自由が丘支店","762119","","電子記録償権"
"太三機工株式会社","5.5.20","5.9.20","りそな銀行","東京中央支店","582107","","電子記録債権"
"大成機工インターナショナル","5.5.22","5.9.20","三菱UFJ銀行","梅田中央支店","19424858","","電子記録債権"
"株式会社トシマ","5.5.22","5.9.25","三菱UFJ銀行","駒込支店","423403","","電子記録債権"
"ヤマトガワ株式会社","5.5.22","5.9.30","三井住友銀行","難波支店","702290","","電子記録債権"
"株式会社協成","5.5.25","5.9.30","みずほ銀行","船場支店","1391104","","電子記録債権"
"ジャパンライフ株式会社","5.5.31","5.9.30","三井住友銀行","新小岩支店","5565230","","電子記録債権"
"アクアパイプテック株式会社","5.5.31","5.9.30","みずほ銀行","丸の内中央支店","426723","","電子記録債権"
"日本鋳鉄管株式会社","5.5.31","5.9.30","三菱UFJ銀行","八重洲通支店","9280810","","電子記録債権"
"日本ヴィクトリック株式会社","5.5.31","5.9.30","三菱UFJ銀行","日比谷支店","135344","","電子記録債権"
"日本鋳鉄管株式会社","5.6.5","5.9.30","三菱UFJ銀行","八重洲通支店","14019570","","電子記録債権"
"株式会社川西水道機器","5.6.20","5.9.30","中国銀行","高松支店","2828540","","電子記録債権"
"光明理化学工業株式会社","5.6.30","5.9.30","みずほ銀行","中目黒支店","2090000","","電子記録債権"
"大興物産株式会社","5.6.30","5.9.30","三井住友銀行","赤坂支店","2430120","","電子記録債権"
"富士機材株式会社","5.5.20","5.10.1","三菱UFJ銀行","新富町支店","3836265","","電子記録債権"
"渡辺パイプ株式会社","5.5.25","5.10.1","三井友銀行","東京中央支店","2733233","","電子記録債権"
"株式会社フソウ","5.4.28","5.10.5","百十四銀行","本店営業部","348707","","電子記録債権"
"計","","","","","","",""
