"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"ジャパンライフ株式会社","5.3.31","5.7.31","三井住友銀行","新小岩支店","5565230","","電子記録債権"
"アクアパイプテック株式会社","5.3.31","5.7.31","みずほ銀行","丸の内中央支店","1400881","","電子記録債権"
"日本鋳鉄管株式会社","5.4.10","5.7.31","三菱UFJ銀行","八重洲通支店","21581657","","電子記録償権"
"株式会社昭和","5.4.10","5.7.31","りそな銀行","江戸川南支店","247247","","電子記録債権"
"日本鋳鉄管株式会社","5.3.31","5.7.31","三菱UFJ銀行","八重洲通支店","986700","","電子記録債権"
"日本ヴィクトリック株式会社","5.3.11","5.7.31","三菱UFJ銀行","日比谷支店","1439532","","電子記録債権"
"株式会社川西水道機器","5.4.20","5.7.31","中国銀行","高松支店","581130","","電子記録債権"
"光明理化学工業株式会社","5.4.28","5.7.31","みずほ銀行","中目黒支店","2090000","","電子記録債権"
"冨士機材株式会社","5.3.20","5.8.1","三菱UFJ銀行","新富町支店","5012213","","電子記録債権"
"渡辺パイプ株式会社","5.3.27","5.8.1","三井住友銀行","東京中央支店","3305964","","電子記録債権"
"株式会社フソウ","5.2.28","5.8.5","百十四銀行","本店営業部","1624485","","電子記録債権"
"北光金属工業株式会社","5.3.27","5.8.10","秋田銀行","土崎支店","486200","","電子記録債権"
"株式会社古島","5.4.10","5.8.10","三菱UFJ銀行","新富町支店","103400","","電子記録債権"
"新日東鋼管株式会社","5.3.31","5.8.15","七十七銀行","盛岡支店","146056","","電子記録債権"
"株式会社ハズ","5.4.20","5.8.17","十六銀行","碧南支店","4294640","","電子記録債権"
"太三機工株式会社","5.4.20","5.8.20","りそな銀行","東京中央支店","1576237","","電子記録債権"
"大成機工インターナショナル","5.4.20","5.8.20","三菱UFJ銀行","梅田中央支店","41262970","","電子記録債権"
"大成機工株式会社","5.4.20","5.8.20","三菱UFJ銀行","梅田中央支店","208296","","電子記録債権"
"株式会社トシマ","5.4.10","5.8.25","三菱UFJ銀行","駒込支店","326980","","電子記録債権"
"ヤマトガワ株式会社","5.4.20","5.8.31","三井住友銀行","難波支店","355890","","電子記録債権"
"ジャパンライフ株式会社","5.4.28","5.8.31","三井住友銀行","新小岩支店","5565230","","電子記録債権"
"アクアパイプテック株式会社","5.4.28","5.8.31","みずほ銀行","丸の内中央支店","137724","","電子記録債権"
"日本鋳鉄管株式会社","5.5.10","5.8.31","三菱UFJ銀行","八重洲通支店","16167015","","電子記録債権"
"計","","","","","","",""
