"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)三愛基礎工事","令4.7.31","令4.10.31","和歌山","紀の川","2174500","",""
"〃","令4.8.1","令4.11.30","紀陽","紀の川","1756500","",""
"岡田機工(株)","令4.5.20","令4.9.30","紀陽","湊","2056772","",""
"〃","令4.6.20","令4.10.31","〃","〃","1835317","",""
"〃","令4.7.20","令4.11.30","〃","〃","956923","",""
"〃","令4.4.20","令4.9.10","〃","〃","388190","",""
"(株)城南建設","令4.6.3","令4.9.30","りそな","和歌山","192500","",""
"〃","令4.8.1","令4.11.30","〃","〃","1475600","",""
"南海砂利(株)","令4.5.31","令4.8.31","紀陽","橋本","520000","",""
"〃","令4.6.30","令4.8.31","〃","〃","660898","",""
"〃","令4.7.29","令4.9.30","〃","〃","1210581","",""
"手持手形計","","","","","13227781","",""
"(株)三愛基礎工事","令4.6.27","令4.9.30","紀陽","紀の川","3587000","西日本セキスイ商事",""
"(株)城南建設","令4.7.26","令4.10.31","りそな","和歌山","733100","〃",""
"(株)合同興業","令4.6.27","令4.9.10","きのくに","吉備","324600","〃",""
"〃","令4.7.26","令4.10.10","〃","〃","124700","〃",""
"赤土建設(株)","令4.6.27","令4.9.11","紀陽","本店","200000","〃",""
"裏書手形計","","","","","4969400","",""
"合計","","","","","18197181","",""
