"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)土佐屋","5.5.31","5.9.20","鹿児島銀行","本店営業部","330000","",""
"(株)土佐屋","5.6.30","5.10.20","鹿児島銀行","本店営薬部","141295","",""
"啓和ファインマテリアル(株)","5.5.31","5.10.2","中国銀行","三石皮店","2171400","",""
"啓和ファインマテリアル(株)","5.7.31","5.11.30","中国銀行","三石支店","1000000","",""
"啓和ファインマテリアル(株)","5.7.31","5.11.30","中国銀行","三石支店","27400","",""
"啓和ファインマテリアル(株)","5.8.31","6.1.4","中国銀行","三石支店","858000","",""
"三石耐火煉瓦(株)","5.3.31","5.10.2","中国銀行","三石支店","227816","",""
"三石耐火煉瓦(株)","5.6.28","5.10.31","中国銀行","三石支店","219890","",""
"三石耐火煉瓦(株)","5.8.31","6.1.4","中国銀行","三石支店","372658","",""
"神根産業(株)","5.6.30","5.10.2","中国銀行","三石支店","321200","",""
"神根産業(株)","5.7.31","5.10.31","中国銀行","三石支店","1344640","",""
"神根産業(株)","5.8.31","5.11.30","中国銀行","三石支店","364452","",""
"清水産薬(株)","5.4.17","5.9.5","伊予郷行","岡山支店","612282","",""
"日本基礎技術(株)","5.6.30","5.10.2","りそな銀行","南森町支店","338844","",""
"日本基礎技術(株)","5.8.31","5.11.30","りそな銀行","南森町支店","2862596","",""
"日本有機粘土(株)","5.5.31","5.10.2","百五銀行","宮川支店","666600","",""
"日本有機粘土(株)","5.6.30","5.10.2","百五銀行","宮川支店","1333200","",""
"日本有機粘土(株)","5.7.31","5.11.30","百五銀行","宮川支店","1999800","",""
"日本有機粘土(株)","5.8.31","6.1.4","百五銀行","宮川支店","678700","",""
"豊國商事(株)","5.7.31","5.10.31","肥後銀行","福岡支店","190603","",""
"豊國商事(株)","5.8.31","5.11.30","肥後銀行","福岡支店","509520","",""
"東陽商事(株)","5.6.30","5.10.2","三養UFJ銀行","王子駅前支店","391504","",""
"入交コーポレーション(株)","5.6.30","5.11.7","福岡銀行","博多支店","159811","",""
"計","","","","","","",""
