振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
小計,,,,,21337210,,
(株)守谷商会,4.2.7,4.6.6,,,27697340,,でんさい
(株)合田工務店,4.2.10,4.6.10,,,32900000,,でんさい
(株)友菱,4.3.22,4.6.15,,,385000,,でんさい
小計,,,,,60982340,,
日本建設(株),4.3.7,4.7.5,,,787500,,でんさい
(株)守谷南会,4.3.7,4.7.5,,,21997340,,でんさい
(株)合田工務店,4.3.10,4.7.10,,,31500000,,でんさい
小計,,,,,54284840,,
(株)東映建工,3.12.10,4.5.2,,,2567000,江戸鉄(株),裏書手形
住協建設(株),4.1.3,4.5.3,,,5000000,(株)江機,裏書手形
住協建設(株),4.1.3,4.5.3,,,5000000,佑信鋼業(株),裏書手形
住協建設(株),4.1.3,4.5.3,,,3000000,佑信鋼業(株),裏書手形
住協建設(株),4.1.3,4.5.3,,,2500000,佑信鋼業(株),裏書手形
住協建設(株),4.1.3,4.5.3,,,2200000,(株)江機,裏書手形
住協建設(株),4.1.3,4.5.3,,,1000000,丸紅建材リース(株),裏書手形
(株)片山組,4.1.25,4.5.20,,,2990000,江戸鉄(株),裏書手形
コーナン建設(株),4.1.25,4.5.24,,,1320000,(株)アイ・テック,裏書手形
小計,,,,,25577000,,
住協建設(株),4.2.3,4.6.3,,,5000000,佑信鋼業(株),裏書手形
住脇建設(株),4.2.3,4.6.3,,,5000000,(株)江機,裏書手形
住協建設(株),4.2.3,4.6.3,,,5000000,(有)清和基工,裏書手形
住協建設(株),4.2.3,4.6.3,,,2500000,佑信鋼業(株),裏書手形
計,,,,,,,
