振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
岡部バルブ工業(株),R4.1.31,R4.5.7,三菱UFJ銀行,,398841,,
(株)柿本商会,R4.1.31,R4.5.10,北国銀行,,790000,,
フクビ化学工業(株),R4.1.11,R4.5.10,福井銀行,本店営業部,1636281,,
〃,R4.2.10,R4.6.10,〃,,1789731,,
〃,R4.3.10,R4.7.10,〃,,1653606,,
(株)エスケー製作所,R4.1.31,R4.5.15,大東銀行,,502500,,
(株)タカシマ,R4.1.20,R4.5.17,三菱UFJ銀行,大伝馬町,794644,,
〃,R4.1.20,R4.5.17,〃,,5000000,,
〃,R4.2.17,R4.6.17,〃,,1632624,,
〃,R4.2.17,R4.6.17,〃,,5000000,,
〃,R4.3.17,R4.7.17,〃,,4091958,,
山陽空調工業(株),R4.1.31,R4.5.17,みずほ銀行,,1395800,,
石原機械(株),R4.1.17,R4.5.18,三井住友銀行,名古屋,1133816,,
〃,R4.1.15,R4.5.31,〃,,5000000,,
〃,R4.2.15,R4.6.18,〃,,4138498,,
〃,R4.3.15,R4.7.18,〃,,149105,,
〃,R4.3.20,R4.7.18,〃,,171000,,
〃,R4.3.15,R4.7.18,〃,,5000000,,
東レ建材(株),R4.1.20,R4.5.20,三井住友銀行,日本橋,332640,,
(株)関西空調設備,R4.1.31,R4.5.25,広島銀行,,800000,,
セイキ販売(株),R4.1.20,R4.5.31,静岡銀行,新宿,332616,,
〃,R4.2.21,R4.6.30,〃,,527780,,
〃,R4.3.22,R4.7.31,〃,,1075900,,
計,,,,,,,
