"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"いわみ生コンクリート","4.2.25","4.5.31","山陰合同銀行","益田支店","10000000","",""
"同上","4.3.25","4.6.30","同上","同上","10000000","",""
"同上","4.1.25","4.4.30","同上","同上","8320000","",""
"同上","4.3.25","4.6.30","同上","同上","3590000","",""
"同上","4.2.25","4.5.31","同上","同上","3310000","",""
"高橋建設","4.2.25","4.4.30","同上","同上","1517263","",""
"同上","4.3.25","4.5.31","同上","同上","754314","",""
"吉村工務店","4.3.25","4.5.20","島根銀行","同上","317000","",""
"同上","4.2.25","4.4.20","同上","同上","99000","",""
"合計","","","","","37907577","",""
