"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"受取手形","","","","","","",""
"大和不動建設(株)","","","紀陽","五条","11084150","","5枚"
"ヒロタ建設(株)","","","りそな","橿原","22662000","","10枚"
"(株)浅利工務店","","","南都","高田","14690000","","7枚"
"(株)阪本工務店","","","三菱UFJ","冨田林","2067000","","2枚"
"(株)都建設","","","奈良県農協","田原本西","1151500","","3枚"
"かとう建設(株)","","","大和信金","八木","2884834","","2枚"
"大倭殖産(株)","","","南都","学園前","1485200","","でんさい3枚"
"(株)マルダイ","","","大阪シティ信金","志紀","4150000","","でんさい4枚"
"葛城建設(株)","","","りそな","香芝","6070000","","3枚"
"(株)上田組","","","三菱UFJ","大東","3790000","","4枚"
"(株)南工務店","","","南都","上市","700000","","1枚"
"(株)米杉建設","","","南都","櫟本","5260000","","3枚"
"植村工務店","","","奈良中信","本店","4004300","","3枚"
"三和住宅(株)","","","南都","本店","1496950","","1枚"
"(株)竹屋","","","南都","真菅","778000","","1枚"
"中西建設(株)","","","りそな","新奈良営業部","6450000","","4枚"
"(小計)","","","","","88723934","",""
"計","","","","","88723934","",""
