"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"アラム(株)","","6.1.10","三菱UFJ銀行","天満橋","3000000","",""
"宇野(株)","","6.1.10","みずほ銀行","難波支店","29259566","","4枚"
"(株)キング製作所","","5.11.30","三井住友銀行","梅田支店","2570481","",""
"丸喜ポンプ工業(株)","","6.1.31","みずほ銀行","四ツ橋支店","8169836","","3枚"
"(株)サンワ","","6.1.10","三菱UFJ銀行","天六支店","2439536","",""
"(株)シンコー理化","","6.1.10","三菱UFJ銀行","針中野支店","5997073","","2枚"
"(株)スカイサイエンス","","5.11.20","尼崎信用金庫","三田支店","10758850","","4枚"
"第一理化(株)","","5.12.5","三井住友銀行","南森町支店","7587696","",""
"西野産業(株)","","6.1.22","三井住友銀行","立売堀支店","70470034","","7枚"
"(株)西山製作所","","5.11.20","みずほ銀行","船場支店","2422781","",""
"(株)服部","","6.1.5","三菱UFJ銀行","神戸支店","5770471","",""
"(株)服部","","5.10.5","三井住友銀行","神戸営業部","2590422","",""
"瑞穂器械工業(株)","","5.12.15","りそな銀行","北浜支店","2108742","",""
"安田産業(株)","","6.1.15","三菱UFJ銀行","天満支店","5696026","","2枚"
"(株)ラボエイド","","6.1.15","徳島大正銀行","大淀支店","4722685","",""
"野村興産(株)","","5.11.30","りそな銀行","東京営業","9900000","",""
"その他200万円末満","","","","","99251420","",""
"上記の内割引手形","","","","","-107017158","",""
"合計","","","","","165698461","",""
