"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","(株)仙台銘板","R5.12.20","R6.5.10","七十七銀行六丁目支店","","128832","",""
"","(株)カンエツ","R5.12.28","R6.5.10","第四北越銀行新崎支店","","348095","",""
"","化研マテリアル(株)","R6.1.30","R6.5.10","みずほ銀行新橋中央支店","","4589913","",""
"","(有)三和工業","R6.2.5","R6.5.10","沖縄銀行安慶名支店","","237457","みずほ銀行那覇支店",""
"","(有)ヒラヨシ産業","R6.2.13","R6.5.10","琉球銀行寄宮支店","","200360","",""
"","コンドーテック(株)","R6.1.30","R6.5.11","三菱UFJ銀行大正橋支店","","2081684","",""
"","熊谷商事(株)","R5.12.29","R6.5.13","北日本気仙沼支店","","108680","",""
"","沖縄市管工事(協)","R6.2.15","R6.5.13","琉球銀行コザ十字路支店","","630234","",""
"","(株)平商事","R5.12.28","R6.5.15","琉球銀行読谷支店","","458329","みずほ銀行那覇支店",""
"","(株)ナイソ","R6.1.19","R6.5.15","琉球銀行城間支店","","11546282","",""
"","(有)あさひ","R6.2.9","R6.5.15","沖縄銀行宮古支店","","5808523","",""
"","藤田商事(株)","R6.3.15","R6.5.15","三井住友銀行本店営業部","","116600","",""
"","伊藤忠丸紅特殊鋼(株)","R6.1.31","R6.5.20","みずほ銀行横山町支店","","6814851","みずほ銀行那覇支店",""
"","トーアン(株)","R6.1.20","R6.5.20","秋田銀行郡山北支店","","529001","みずほ銀行那覇支店",""
"","日鉄物産ワイヤ&ウェルディング(株)","R6.1.20","R6.5.20","三井住友銀行錦糸町支店","","2692575","",""
"","(株)新洋","R6.1.15","R6.5.20","琉球銀行安謝支店","","1877499","",""
"","チヨダメタルスタッド関西(株)","R6.1.31","R6.5.20","三菱UFJ銀行四日市支店","","1553090","みずほ銀行那覇支店",""
"","(株)千葉春","R6.1.20","R6.5.25","関信用金庫東山支店","","1073061","",""
"","沖縄ピーシー(株)","R6.2.29","R6.5.28","琉球銀行本店営業部","","521011","",""
"","金秀建設(株)","R6.1.31","R6.5.29","琉球銀行本店営業部","","8670791","",""
"","金秀鉄工(株)","R6.1.31","R6.5.29","琉球銀行本店営業部","","4882152","",""
"","(株)東江建設","R6.1.29","R6.5.31","琉球銀行内間支店","","733361","みずほ銀行那覇支店",""
"","(株)アークエース","R6.1.31","R6.5.31","商工組合中央金庫大阪支店","","6808448","みずほ銀行那覇支店",""
"計","","","","","","","",""
