"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"T3360002007293","(有)なか総合金物商会","R6.3.29","R6.7.31","琉球銀行本店営業部","","1055000","",""
"T3370001005611","(株)鉄宝機械","R6.3.31","R6.7.31","七十七銀行東仙台支店","","288925","",""
"T5010501027718","(株)フォーワイズ","R6.3.31","R6.7.31","千葉銀行松飛台支店","","100000","",""
"","(株)沖縄日興","R6.3.29","R6.8.5","沖縄銀行山内支店","","1088792","",""
"","受取手形計","","","","","324517483","",""
"","金秀鋼材(株)","R5.11.28","R6.3.31","沖縄銀行本店営業部","","3110608","",""
"","新日本商事(株)","R5.11.28","R6.3.31","古川信用組合小牛田支店","","102300","みずほ銀行那覇支店",""
"","平和技研(株)","R5.11.28","R6.3.31","北九州銀行八幡支店","","1019986","みずほ銀行那覇支店",""
"","(株)トウエイ","R5.11.30","R6.3.31","沖縄海邦銀行内間支店","","1630655","みずほ銀行那覇支店",""
"","関包スチール(株)","R5.11.30","R6.3.31","商工組合中央金庫船場支店","","3869744","みずほ銀行那覇支店",""
"","(有)互光管材","R5.11.30","R6.3.31","琉球銀行古波蔵支店","","511771","みずほ銀行那覇支店",""
"","(株)東江建設","R5.11.30","R6.3.31","琉球銀行内間支店","","832029","みずほ銀行那覇支店",""
"","アートスペース(株)","R5.11.30","R6.3.31","りそな銀行堺東支店","","5750591","みずほ銀行那覇支店",""
"","(株)アークエース","R5.11.30","R6.3.31","商工組合中央金庫大阪支店","","6501265","みずほ銀行那覇支店",""
"","(有)吉田産業","R5.12.15","R6.3.31","青森銀行八戸支店","","125510","",""
"","(株)シグマット","R5.12.11","R6.3.31","七十七銀行亘里支店","","153560","",""
"","(株)安謝鋳物商事","R5.12.28","R6.3.31","沖縄銀行新都心支店","","8125851","みずほ銀行那覇支店",""
"","(株)大米建設","R6.1.31","R6.3.31","琉球銀行本店営業部","","162382","みずほ銀行那覇支店",""
"","成幸利根(株)","R6.2.7","R6.3.31","三井住友銀行東京中央","","1750000","",""
"","三善建設(株)","R5.12.28","R6.4.1","琉球銀行西原支店","","451341","",""
"","(株)屋部土建","R6.1.31","R6.4.1","琉球銀行名護支店","","8331382","",""
"","(株)小西","R6.1.20","R6.4.4","七十七銀行幸町支店","","228933","みずほ銀行那覇支店",""
"","那覇鋼材(株)","R5.11.30","R6.4.5","琉球銀行本店営業部","","19279970","みずほ銀行那覇支店",""
"計","","","","","","","",""
