"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"ツチダ産業(株)","..","..","","","14369822","",""
"(株)成伸工業","..","..","","","5000000","",""
"赤石住設(株)","..","..","","","3514148","",""
"(有)新光製作所","..","..","","","2798750","",""
"特殊電極(株)","..","..","","","2511600","",""
"(有)塩崎製作所","..","..","","","1810411","",""
"(有)塩崎工業","..","..","","","1482892","",""
"舟橋鉄工(有)","..","..","","","1470000","",""
"四国クレー(株)","..","..","","","1086464","",""
"共和工業(株)","..","..","","","1079595","",""
"その他","..","..","","","13487426","",""
"","手持受取手形計","..","","","48611108","",""
"三井造船(株)他","..","..","","","65688818","中国銀行",""
"(株)ナイカイアーキット他","..","..","","","107027704","商工組合中央金庫",""
"ツチダ産業(株)他","..","..","","","10000000","おかやま信用金庫",""
"","割引手形計","..","","","182716522","",""
"","受取手形計","..","","","231327630","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
