"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)森崎建設工業","3.4.30","3.8.31","大分銀行","本店営業","8630000","",""
"東洋建設(株)","3.6.30","3.8.31","三菱UFJ銀行","東京営業部","884400","",""
"(株)森崎建設工業","3.8.31","4.1.4","大分銀行","本店営業","11090000","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"合計","","","","","20604400","",""
