振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
(株)松永建設,4.12.28,5.5.1,,,4569593,,でんさい
日本建設(株),4.12.28,5.5.5,,,13980000,,でんさい
(株)守谷商会,5.3.6,5.5.8,,,2381340,,でんさい
(株)合田工務店,5.1.10,5.5.10,,,20500000,,でんさい
杉本興業(株),5.1.10,5.5.10,,,11543400,,でんさい
コーナン建殻(株),5.1.25,5.5.24,,,660000,,でんさい
小計,,,,,53634333,,
日本建設(株),5.2.6,5.6.5,,,10370000,,でんさい
白石建設(株),5.2.6,5.6.5,,,4500000,,でんさい
(株)合田工務店,5.2.10,5.6.12,,,17500000,,でんさい
(株)鍛冶田工務店,5.2.13,5.6.12,,,320000,,でんさい
(株)松永建殻,5.2.28,5.6.30,,,1433658,,でんさい
小計,,,,,34123658,,
徃協霆皷(株),5.3.3,5.7.3,,,3800000,,でんさい
日本建段(株),5.3.6,5.7.5,,,3580000,,でんさい
白石建設(株),5.3.6,5.7.5,,,3200000,,でんさい
(株)合田工務店,5.3.10,5.7.10,,,30400000,,でんさい
(株)協栄租,5.3.15,5.7.18,,,1300000,,でんさい
コーナン建設(株),5.3.27,5.7.24,,,2230000,,でんさい
(株)松永建設,5.3.31,5.7.31,,,4001481,,でんさい
小計,,,,,48511481,,
電子記録債権合計,,,,,204434152,,
(株)三共建設,3.12.12,5.4.10,,,5000000,佑信鋼業(株),裏書手形
計,,,,,,,
