"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)プロテック","4.11.30","5.4.30","西京銀行","和木支店","528000","",""
"(株)プロテック","4.12.31","5.5.31","西京銀行","和木支店","983400","",""
"(株)プロテック","5.1.31","5.6.30","西京銀行","和木支店","1508100","",""
"(株)プロテック","5.2.28","5.7.31","西京銀行","和木支店","607200","",""
"(株)プロテック","5.3.31","5.8.31","西京銀行","和木支店","820600","",""
"池田興業(株)","5.1.10","5.5.10","みずほ銀行","北九州支店","204600","",""
"小野田重機(株)","5.2.28","5.6.30","山口銀行","小野田支店","3000000","",""
"小野田重機(株)","5.2.28","5.6.30","山口銀行","小野田支店","3000000","",""
"小野田重機(株)","5.2.28","5.6.30","山口銀行","小野田支店","1169800","",""
"(有)興運重機","5.3.31","5.7.31","西日本シティ銀行","宇部支店","153450","",""
"広和機工(株)","5.1.31","5.6.5","もみじ銀行","廿日市支店","189200","",""
"サカネテクノ(株)","5.1.20","5.4.20","山口銀行","和木支店","585200","",""
"サカネテクノ(株)","5.3.20","5.6.20","山口銀行","和木支店","547800","",""
"塚本商事機械(株)","5.3.15","5.8.5","三菱UFJ銀行","銀座通支店","265320","",""
"(株)寺田建設","5.3.31","5.7.31","百十四銀行","福山支店","370000","",""
"東京重機(株)","4.11.21","5.4.20","横浜銀行","新宿支店","2000000","",""
"東京重機(株)","4.12.20","5.5.20","横浜銀行","新宿支店","2920000","",""
"東京重機(株)","5.1.20","5.6.20","横浜銀行","新宿支店","3000000","",""
"東京重機(株)","5.2.20","5.7.20","横浜銀行","新宿支店","2830000","",""
"東京重機(株)","5.3.20","5.8.20","横浜銀行","新宿支店","1670000","",""
"日伸工業(株)","4.12.15","5.4.20","おかやま信用金庫","玉野営業部","734800","",""
"日伸工業(株)","5.1.16","5.5.20","おかやま信用金庫","玉野営業部","343200","",""
"日伸工業(株)","5.3.15","5.7.20","おかやま信用金庫","玉野営業部","374000","",""
"合計","","","","","","",""
