"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"ニッタ化工品(株)","","","三菱UFJ","船場中央","48191023","","8口"
"ミック工業(株)","","","みずほ","堺","9585117","","4口"
"スーパー工業(株)","","","池田泉州","摂津","3567924","","2口"
"(株)タカギセイコー","","","北陸","高岡","3460964","","4口"
"日建ラス工業(株)","","","三井住友","西野田","2238589","","2口"
"(株)東洋冷熱","","","浜松磐田信途","篠原","1880000","","3口"
"ユアサM&B(株)","","","京都","本店営業部","1765551","","4口"
"(株)タイネクサス","","","みなと","西脇","824288","","3口"
"その他","","","","","311938","","2口"
"計","","","","","71825394","",""
