振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
前田製管(株),5.7.20,5.11.20,商工中金,酒田支店,1876763,きらやか銀行荒砥支店,
(株)藤島建設,5.7.20,5.11.30,山形銀行,小松支店,525000,同上,
(株)米沢マ工タ,5.7.20,5.11.30,荘内銀行,酒田中央支店,3000000,同上,
升川建設(株),5.7.24,5.11.10,山形銀行,谷地支店,1557266,商工中金山形支店,
日建工学(株),5.7.31,5.9.30,三菱UFJ銀行,新宿新都心支店,736890,きらやか銀行荒砥支店,
小笠原建設(株),5.7.31,5.10.31,きらやか銀行,長井支店,831804,同上,
山形建設(株),5.7.31,5.11.10,山形銀行,本店営業部,2621000,商工中金山形支店,
村山建設(株),5.7.31,5.11.10,きらやか銀行,宮宿支店,1041000,きらやか銀行荒砥支店,
吾妻建設(株),5.7.31,5.11.30,山形銀行,金池支店,2334825,商工中金山形支店,
日建工学(株),5.7.31,5.11.30,三菱UFJ銀行,新宿新都心支店,10000000,きらやか銀行荒砥支店,
同上,5.7.31,5.11.30,同上,同上,2646102,同上,
(株)畑山,5.7.31,5.11.30,鶴岡信用金庫,若竹町支店,4219743,同上,
シンコー通商(株),5.7.31,5.11.30,古川信用組合,小牛田支店,3000000,同上,
同上,5.7.31,5.11.30,秋田銀行,鹿渡支店,1995890,同上,
共和コンクリート工業(株),5.7.31,5.12.5,みずほ銀行,札幌支店,3000000,同上,
同上,5.7.31,5.12.5,同上,同上,171861,同上,
シンコー通商(株),5.7.31,5.12.13,北日本銀行,気仙沼支店,758780,同上,
新興ランデック(株),5.8.5,5.10.10,東邦銀行,原町支店,2805046,同上,
樋口建設(株),5.8.7,5.10.31,山形銀行,長井支店,489020,同上,
小国開発(株),5.8.10,5.11.10,同上,小国支店,4767179,同上,
丸吉コンクリート工業(株),5.8.10,5.12.5,同上,荒砥支店,1958708,同上,
小松物産(株),5.8.10,5.12.25,七十七銀行,一番町支店,2414205,同上,
小計,,,,,52751082,,
合計,,,,,,,
