"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"小林建設(株)","令5.7.31","令5.7.31","中国銀行","和気","200000","","本社"
"小計","..","..","","","200000","",""
"中国水道工業(株)","令5.7.20","令5.7.20","香川銀行","今村","3457300","","本社"
"小計","..","..","","","3457300","",""
"鳥越工業(株)","令5.5.20","令5.5.20","中国銀行","久世","400300","","本社"
"小計","..","..","","","400300","",""
"日本道路(株)","令5.5.10","令5.6.9","みずほ","内幸町営業部","1400000","","本社"
"小計","..","..","","","1400000","",""
"備前特機工業(株)","令5.4.20","令5.7.20","中国","庭瀬","464053","","本社"
"小計","..","..","","","464053","",""
"(株)松本工務店","令5.4.30","令5.4.30","中国","片上","99000","","本社"
"小計","..","..","","","99000","",""
"(株)三木工務店","令5.6.25","令5.6.25","中国","久世","2552000","","本社"
"小計","..","..","","","2552000","",""
"清水建設(株)","令5.4.5","令5.4.5","みずほファクター","","6100000","","本社"
"小計","..","..","","","6100000","",""
"梶岡建設(株)","令5.4.28","令5.4.28","(株)全国電子債権ネ","","869000","","中国"
"小計","..","..","","","869000","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"計","","","","","15541653","",""
