"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","(有)互光管材","R6.2.29","R6.6.30","琉球銀行古波蔵支店","","463108","",""
"","関包スチール(株)","R6.2.29","R6.6.30","商工組合中央金庫船場支店","","3368859","",""
"","(株)トウエイ","R6.2.29","R6.6.30","沖縄海邦銀行内間支店","","3201755","",""
"","(株)アークエース","R6.2.29","R6.6.30","商工組合中央金庫大阪支店","","3822929","",""
"","アートスペース(株)","R6.2.29","R6.6.30","りそな銀行堺東支店","","812874","",""
"","金秀鋼材(株)","R6.2.29","R6.6.30","沖縄銀行本店営業部","","2486125","",""
"","(株)三和アグリテクノ","R6.3.29","R6.6.30","沖縄銀行西原支店","","706700","",""
"","那覇鋼材(株)","R6.2.29","R6.7.5","琉球銀行本店営業部","","16334216","",""
"","(株)積水化成品西部","R6.3.29","R6.7.5","三菱UFJ銀行福岡中央支店","","1728602","",""
"","新光産業(株)","R6.3.29","R6.7.5","沖縄銀行高橋支店","","270670","",""
"","(株)カンエツ","R6.2.29","R6.7.10","第四北越銀行新崎支店","","347391","",""
"","(株)ナイソ","R6.3.19","R6.7.10","琉球銀行城間支店","","4076050","",""
"","(株)平商事","R6.2.29","R6.7.15","琉球銀行読谷支店","","665289","",""
"","渡辺パイプ沖縄(株)","R6.3.25","R6.7.15","みずほ銀行東京営業部","","371999","",""
"","トーアン(株)","R6.3.19","R6.7.20","秋田銀行郡山北支店","","798072","",""
"","日鉄物産ワイヤ&ウェルディング(株)","R6.3.19","R6.7.20","三井住友銀行錦糸町支店","","1048007","",""
"","(株)新洋","R6.3.25","R6.7.20","琉球銀行安謝支店","","5835383","",""
"","チヨダメタルスタッド関西(株)","R6.3.31","R6.7.20","三菱UFJ銀行四日市支店","","519200","",""
"","(株)タツノ","R6.3.29","R6.7.20","三井住友銀行新橋支店","","2000000","",""
"","(株)千葉春","R6.3.20","R6.7.25","一関信用金庫東山支店","","691353","",""
"","金秀建設(株)","R6.3.29","R6.7.26","琉球銀行本店営業部","","591641","",""
"","新日本商事(株)","R6.3.30","R6.7.30","古川信用組合小牛田支店","","170610","",""
"","(有)富建","R6.3.29","R6.7.31","琉球銀行宮古支店","","7528525","",""
"計","","","","","","","",""
