振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
ケービーエル,4・2・26,4・4・30,,,"253,273",仙台銀行,
大洋自動車薨御MK電装商事,4・2・26,4・5・31,,,"601,062",,
弘前バッテリー社,4・2・26,4・6・30,,,"296,566",,
八戸電機商会,4・2・28,4・5・31,,,"334,213",,
羽田電機工業所,4・2・28,4・6・30,,,"1,609,369",,
石井電装サービス,4・2・28,4・6・1,,,"181,276",,
秋田重車輛,4・3・9,4・6・30,,,"260,271",,
小笠原電装,4・3・9,4・9・30,,,"611,753",,
,4・3・12,4・7・2,,,"210,541",,
アサノ電装,4・3・16,4・6・30,,,"659,275",,
小又建設上北電機商会,4・3・18,4・5・31,,,"206,888",,
岩手自動車電機,4・3・18,4・6・20,,,"408,817",,
佐藤電機工業,4・3・18,4・6・30,,,"302,695",,
上北電機照会,4・3・18,4・6・30,,,"518,252",,
西東北日野自動車トータルサポート高橋電装,4・3・19,4・5・18,,,"400,000",,
仙北電装,4・3・19,4・8・31,,,"188,739",,
大館自動車部品商会,4・3・25,4・6・30,,,"221,879",,
ほくとう北村電装サービス,4・3・25,4・7・31,,,"340,470",,
郡山運送鈴木電機工業所,4・3・28,4・6・6,,,"155,496",,
大洋自動車工業MR電装商事,4・3・30,4・6・30,,,"1,138,014",,
石井電装サービス,4・3・31,4・7・1,,,"363,267",,
羽田電機工業所,4・3・31,4・6・30,,,"152,631",,
計,,,,,"32,876,495",,
