"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"T6360001001170","(株)真力","R5.12.29","R6.4.10","沖縄銀行首里支店","","6626776","みずほ銀行那覇支店",""
"T3360002007293","(有)なか総合金物商会","R5.12.29","R6.4.10","琉球銀行安波茶支店","","2000000","みずほ銀行那覇支店",""
"","丸高商事","R6.1.11","R6.4.10","沖縄銀行石垣出張所","","479450","みずほ銀行那覇支店",""
"","ビー・ゼイ工事(株)","R6.1.12","R6.4.10","沖縄海邦銀行てだこ支店","","329010","みずほ銀行那覇支店",""
"","諸見左官材料販売","R6.1.29","R6.4.10","沖縄海邦銀行てだこ新手","","658020","みずほ銀行那覇支店",""
"","松知総業","R5.12.22","R6.4.15","商工組合中央金庫池袋支店","","1095120","みずほ銀行那覇支店",""
"","渡辺パイプ沖縄(株)","R5.12.29","R6.4.15","みずほ銀行東京営業部","","718832","みずほ銀行那覇支店",""
"T3360002007293","(有)なか総合金物商会","R5.12.29","R6.4.15","沖縄銀行内間支店","","750000","みずほ銀行那覇支店",""
"","大倉インダストリー(株)","R5.12.29","R6.4.15","四国銀行潮江支店","","110550","みずほ銀行那覇支店",""
"T1360001008757","(株)グリーンツールセンター","R6.1.18","R6.4.15","沖縄銀行新都心支店","","1781562","みずほ銀行那覇支店",""
"","屋富祖金物店","R6.2.29","R6.4.15","沖縄銀行内間支店","","1054844","みずほ銀行那覇支店",""
"T8360001008437","(株)一心堂","R6.1.11","R6.4.18","沖縄銀行内間支店","","1467174","みずほ銀行那覇支店",""
"","(株)とみや商会","R6.3.6","R6.4.18","琉球銀行宮古支店","","728805","",""
"","(有)長堂建材店","R6.1.15","R6.4.20","沖縄海邦銀行てだこ支店","","419617","みずほ銀行那覇支店",""
"","清水建設(株)","R6.2.29","R6.4.20","みずほ銀行内幸町営業部","","3049800","みずほ銀行那覇支店",""
"","(株)樹産業","R6.1.5","R6.4.22","沖縄銀行本店営業部","","150000","みずほ銀行那覇支店",""
"","(株)沖縄神洋ペイント","R5.12.29","R6.4.23","琉球銀行西原支店","","569668","みずほ銀行那覇支店",""
"T4360001023365","玉城組","R6.1.30","R6.4.24","琉球銀行嘉手納支店","","237500","みずほ銀行那覇支店",""
"T4360001008812","(株)佐久本工機","R5.12.29","R6.4.25","琉球銀行浦添支店","","3000000","みずほ銀行那覇支店",""
"T4360001008812","(株)佐久本工機","R5.12.29","R6.4.25","琉球銀行浦添支店","","120735","みずほ銀行那覇支店",""
"","ビー・ゼイ工事(株)","R6.1.12","R6.4.25","沖縄銀行本店営業部","","1362900","みずほ銀行那覇支店",""
"","宜野湾市管工事(協)","R5.12.29","R6.4.26","沖縄海邦銀行大謝名支店","","787285","みずほ銀行那覇支店",""
"","(株)とみや商会","R6.1.15","R6.4.26","沖縄海邦銀行宮古支店","","505361","みずほ銀行那覇支店",""
"計","","","","","","","",""
