"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)東京堂","令5.6.30","令5.10.10","三菱UFJ","四谷","330000","","セロン工業(株)廻し手形"
"〃","令5.4.28","令5.8.10","〃","〃","9140000","",""
"〃","令5.5.31","令5.9.8","〃","〃","6650000","",""
"〃","令5.6.30","令5.10.10","〃","〃","4960000","",""
"〃","令5.7.31","令5.11.10","〃","〃","3580000","",""
"(株)東光","令5.5.31","令5.8.20","みずほ","荏原","4625520","",""
"〃","令5.6.30","令5.9.20","みずほ","四谷","1848474","",""
"〃","令5.7.31","令5.10.20","みずほ","荏原","1673039","",""
"(株)愛起","令5.7.20","令5.9.30","三菱UFJ","滝子","1000000","","電子債権"
"(株)石渡","令5.6.20","令5.8.31","三菱UFJ","東","670557","",""
"〃","令5.7.20","令5.9.30","〃","〃","413241","",""
"(株)高速","令5.5.31","令5.8.31","みずほ","仙台","565298","","電子債権"
"〃","令5.6.30","令5.10.2","〃","〃","258699","","〃"
"〃","令5.7.31","令5.10.30","〃","〃","339541","","〃"
"ザ・パック(株)","令5.5.19","令5.8.18","三菱UFJ","鶴橋","593358","","〃"
"〃","令5.6.15","令5.9.20","〃","〃","394581","","〃"
"〃","令5.7.14","令5.10.20","〃","〃","452331","","〃"
"大丸(株)","令5.7.31","令5.9.30","北洋","本店営業部","1143234","","〃"
"(株)weIzo","令5.5.31","令5.8.21","三菱UFJ","福岡","1666638","","〃"
"〃","令5.6.27","令5.10.20","〃","〃","1800179","","〃"
"〃","令5.7.31","令5.10.20","〃","〃","1138376","","〃"
"(株)マツモト","令5.6.27","令5.8.31","七十七","古川","1258922","",""
