"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)オシキリ","4・6・15","4・10・15","","","130988","",""
"(株)久力製作所","4・6・27","4・10・25","","","219596","",""
"CKD日機電装(株)","4・6・30","4・10・25","","","818840","",""
"東洋発條工業(株)","4・7・31","4・10・28","","","470892","",""
"木村プログレス(株)","4・6・30","4・10・31","","","139457","",""
"日本フィッシャー(株)","4・7・25","4・11・25","","","323483","",""
"(株)日本エナジーコンポーネンツ","4・7・31","4・11・30","","","381160","",""
"CKD日機電装(株)","4・7・29","4・11・25","","","1100016","",""
"木村プログレス(株)","4・7・31","4・11・30","","","198990","",""
"(株)タガワ","4・7・29","4・11・30","","","336760","",""
"(株)オシキリ","4・8・15","4・12・15","","","224801","",""
"(株)日本エナジーコンポーネンツ","4・8・31","4・2・31","","","485222","",""
"東洋発條工業(株)","4・8・31","4・11・28","","","216538","",""
"CKD日機電装(株)","4・8・31","4・12・25","","","985248","",""
"(株)オシキリ","4・9・15","5・1・15","","","290186","",""
"鋼管工業(株)","4・9・20","5・1・20","","","390569","",""
"日本フィッシャー(株)","4・9・26","5・1・25","","","665544","",""
"東洋発條工業(株)","4・9・30","4・12・29","","","266302","",""
"(株)タガワ","4・9・30","5・1・31","","","309590","",""
"CKD日機電装(株)","4・9・30","5・1・25","","","786269","",""
"計","","","","","8740451","",""
"(株)キーアンドクラフト","","","","","1","",""
"日豊金属工業","","","","","1","",""
"合計","","","","","","",""
