"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"日本電産コパル電子株式会社","","","","","34520648","","4枚"
"黒田電気株式会社","","","","","25119333","","3枚"
"フジクラ電装株式会社","","","","","22920338","","6枚"
"三協株式会社","","","","","12806346","","4枚"
"ユー・エム・シー・エレクトロニクス株式会社","","","","","9364785","","4枚"
"株式会社オーイズミ","","","","","7799935","","2枚"
"古河電気工業株式会社","","","","","5632126","","3枚"
"フジコン株式会社","","","","","5056661","","4枚"
"小倉クラッチ株式会社","","","","","3455771","","4枚"
"大蔵工業株式会社","","","","","2900000","","4枚"
"チューナー株式会社","","","","","1556800","","5枚"
"日本電産サーボ株式会社","","","","","756758","","3枚"
"センコーアドバンス株式会社","","","","","649000","","1枚"
"穂高日本電産サーボ株式会社","","","","","224144","","2枚"
"合計","","","","","132762645","",""
