"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"サンエースホールデング(株)","令5.1.31","令5.5.31","","","1063161","中国銀行",""
"手持手形計","","","","","1063161","",""
"(株)フクシン","令4.9.12","令5.2.10","","","1319032","中国銀行",""
"〃","令4.10.11","令5.3.10","","","5000000","中国銀行",""
"〃","令4.10.11","令5.3.10","","","2141068","〃",""
"(株)廣瀬商会","令4.10.20","令5.2.20","","","711140","中国銀行",""
"サンエースホールデング(株)","令4.10.31","令5.2.28","","","87416","〃",""
"〃","令4.10.31","令5.2.28","","","1000000","〃",""
"(株)双進","令4.10.31","令5.3.5","","","508750","〃",""
"〃","令4.10.31","令5.4.5","","","508750","〃",""
"(株)ワールド","令4.11.7","令5.2.6","","","1696110","〃",""
"(株)内山商店","令4.11.10","令5.3.31","","","1283521","〃",""
"(株)サザリービーグ","令4.11.30","令5.2.20","","","21925657","中国銀行",""
"サンエースホールデング(株)","令4.11.30","令5.3.31","","","1000000","中国銀行",""
"〃","令4.11.30","令5.3.31","","","81674","〃",""
"イトキン(株)","令4.11.30","令5.2.26","","","1232890","〃",""
"(株)ITSDEMO","令4.12.15","令5.3.6","","","4870540","中国銀行",""
"(株)ワールド","令4.12.15","令5.3.6","","","622160","",""
"","令4.12.20","令5.4.30","","","1437095","中国銀行",""
"(株)廣瀬商会","令4.12.20","令5.3.20","","","364640","〃",""
"〃","令4.12.20","令5.4.20","","","703880","",""
