"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(有)頼鉄工所","4.6.27","4.10.31","中国銀行","東岡山","1244247","三井住友銀行横浜中央",""
"〃","4.8.25","4.12.31","〃","〃","2002205","城南信用金庫蒲田",""
"〃","4.9.26","5.1.31","〃","〃","2330037","〃",""
"(株)サンテック","4.6.30","4.10.31","荘内銀行","宝田","1018842","商工組合中央金庫川崎",""
"〃","4.7.26","4.11.30","〃","〃","776116","横浜銀行元町",""
"〃","4.8.31","4.12.31","〃","〃","500720","商工組合中央金庫川崎",""
"(株)金山精機製作所","4.6.25","4.10.25","りそな銀行","京都","1461834","〃",""
"永和工業(株)","4.6.27","4.10.31","三井住友銀行","三田通","540553","三井住友銀行横浜中央",""
"〃","4.7.25","4.11.30","〃","〃","902615","城南信用金庫蒲田",""
"〃","4.8.25","4.12.31","〃","〃","585460","横浜銀行元町",""
"〃","4.9.26","5.1.31","〃","〃","462590","〃",""
"オタライト(株)","4.6.20","4.10.31","福岡銀行","本店営業","768900","城南信用金庫蒲田",""
"〃","4.7.20","4.11.30","〃","〃","768900","横浜銀行元町",""
"〃","4.9.20","5.1.31","〃","〃","843700","城南信用金庫蒲田",""
"(株)和泉製作所","4.8.22","4.11.29","三菱UFJ銀行","向島","1493778","〃",""
"(株)植木製作所","4.6.30","4.10.31","肥後銀行","植木","1000000","商工組合中央金庫川崎",""
"(株)三共静岡製作所","4.6.27","4.10.25","みずほ銀行","尾久","2000000","城南信用金庫蒲田",""
"〃","4.7.25","4.11.25","〃","〃","2110006","横浜銀行元町",""
"〃","4.8.25","4.12.25","〃","〃","2000000","城南信用金庫蒲田",""
"〃","4.9.26","5.1.25","〃","〃","1185310","横浜銀行元町",""
"(株)タケマエ","4.6.5","4.10.5","山形銀行","米沢西","1439364","商工組合中央金庫川崎",""
"〃","4.8.5","4.12.5","〃","〃","986979","〃",""
"(株)帝国機械製作所","4.5.16","4.10.5","三菱UFJ銀行","歌島橋","846824","横浜銀行元町",""
"合計","","","","","","",""
