"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(株)石井表記","令5.2.28","令5.6.30","もみじ","福山","664180","",""
"(株)大日本精機","令5.3.15","令5.7.15","京都","西院","1155550","",""
"(株)大和田製作所","令5.1.31","令5.4.30","三井住友","町屋","794970","",""
"〃","令5.2.28","令5.5.31","三井住友","町屋","617980","",""
"〃","令5.3.31","令5.6.30","三井住友","町屋","636130","",""
"(株)イワキ","令4.12.23","令5.4.17","三井住友","神田駅前","10000000","",""
"〃","令4.12.23","令5.4.17","三井住友","神田駅前","4937032","",""
"〃","令5.1.25","令5.5.19","三井住友","神田駅前","10000000","",""
"〃","令5.1.25","令5.5.19","三井住友","神田駅前","2000000","",""
"〃","令5.1.25","令5.5.19","三井住友","神田駅前","2000000","",""
"〃","令5.1.25","令5.5.19","三井住友","神田駅前","1898816","",""
"〃","令5.2.24","令5.6.19","三井住友","神田駅前","10000000","",""
"〃","令5.2.24","令5.6.19","三井住友","神田駅前","5000000","",""
"〃","令5.2.24","令5.6.19","三井住友","神田駅前","2000000","",""
"〃","令5.2.24","令5.6.19","三井住友","神田駅前","1500187","",""
"〃","令5.3.24","令5.7.14","三井住友","神田駅前","10000000","",""
"〃","令5.3.24","令5.7.14","三井住友","神田駅前","2000000","",""
"〃","令5.3.24","令4.7.14","三井住友","神田駅前","1887435","",""
"(株)ネリキ","令4.12.15","令5.4.15","池田泉州","池田営業部","968602","",""
"〃","令5.1.15","令5.5.15","池田泉州","池田営業部","2000000","",""
"〃","令5.1.15","令5.5.15","池田泉州","池田営業部","43908","",""
"〃","令5.2.15","令5.6.15","池田泉州","池田営業部","711764","",""
"〃","令5.3.5","令5.7.15","池田泉州","池田営業部","1439596","",""
"計","","","","","","",""
