振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
大丸工業(株),5-2-10,5-6-10,三菱UFJ銀行,秋葉原駅前支店,"1,510,939",,
(株)扶桑ケミカル,5-2-20,5-6-20,三井住友銀行,日比谷支店,"1,561,506",,
(株)大進工業研究所,5-4-25,5-8-25,三井住友銀行,大正区支店,"2,684,778",,
(株)やまびこ,5-3-27,5-7-26,横浜銀行,新宿支店,"2,653,494",,
(株)やまびこ,5-4-26,5-8-28,横浜銀行,新宿支店,"10,000,000",,
(株)やまびこ,5-4-26,5-8-28,横浜銀行,新宿支店,"3,000,000",,
ヤマヨ測定機(株),5-2-8,5-6-10,みずほ銀行,千住支店,"2,357,490",,
ヤマヨ測定機(株),5-3-10,5-7-10,みずほ銀行,千住支店,"2,532,400",,
シンワPKG(株),5-2-20,5-7-6,三井住友銀行,千住支店,"3,000,000",,
シンワPKG(株),5-2-20,5-7-6,三井住友銀行,千住支店,"1,137,500",,
大東ポンプ工業(株),5-4-10,5-7-20,りそな銀行,日暮里支店,"1,795,156",,
(株)サンエー,5-2-15,5-6-15,もみじ銀行,三次支店,"2,449,900",,
(株)サンエー,5-3-15,5-7-15,もみじ銀行,三次支店,"5,000,000",,
(株)サンエー,5-3-15,5-7-15,もみじ銀行,三次支店,"613,800",,
(株)フジ,5-2-10,5-6-30,八千代銀行,渋谷支店,"1,967,456",,
(株)フジ,5-3-10,5-7-31,八千代銀行,渋谷支店,"2,864,138",,
(株)フジ,5-4-10,5-8-31,八千代銀行,渋谷支店,"2,470,562",,
東京パーツ(株),5-2-25,5-7-10,三井住友銀行,府中支店,"2,886,703",,
東京パーツ(株),5-4-25,5-9-10,三井住友銀行,府中支店,"2,678,806",,
(株)サカエ,5-4-5,5-8-20,三菱UFJ銀行,浜松支店,"2,787,582",,
三昌工業(株),5-2-20,5-6-20,三菱UFJ銀行,世田谷支店,"1,878,362",,
三昌工業(株),5-3-20,5-7-20,三菱UFJ銀行,世田谷支店,"1,816,853",,
三昌工業(株),5-4-20,5-8-20,三菱UFJ銀行,世田谷支店,"1,626,534",,
合計,,,,,,,
