"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","(株)徳原組","R6.1.31","R6.4.1","琉球銀行名護支店","","1000000","みずほ銀行那覇支店",""
"","宮建装","R6.2.16","R6.4.1","琉球銀行西原支店","","1732000","みずほ銀行那覇支店",""
"","デザインワークス(株)","R5.12.29","R6.4.2","沖縄銀行普天間支店","","2420000","みずほ銀行那覇支店",""
"","エムティー装飾","R5.12.29","R6.4.2","沖縄銀行普天間支店","","1000000","みずほ銀行那覇支店",""
"T3360002007293","(有)なか総合金物商会","R5.12.29","R6.4.2","沖縄銀行普天間支店","","2418000","みずほ銀行那覇支店",""
"","(株)スズトヨ","R5.12.11","R6.4.3","東邦銀行原町支店","","1136820","みずほ銀行那覇支店",""
"T3360001012617","(株)コウダイ産業","R5.12.29","R6.4.3","沖縄海邦銀行やんばる支店","","358000","みずほ銀行那覇支店",""
"T8010601000373","建材工業(株)","R5.11.30","R6.4.5","関西みらい銀行本町営業部","","5000000","みずほ銀行那覇支店",""
"","(株)沖縄日興","R5.11.30","R6.4.5","沖縄銀行山内支店","","1440647","みずほ銀行那覇支店",""
"T9360001000995","(株)サンライト","R5.11.30","R6.4.5","琉球銀行本店営業部","","725863","みずほ銀行那覇支店",""
"","(株)三晴","R5.11.30","R6.4.5","琉球銀行本店営業部","","204380","みずほ銀行那覇支店",""
"","(有)三共金物","R5.12.29","R6.4.5","沖縄海邦銀行南風原支店","","2600000","みずほ銀行那覇支店",""
"T3360001009191","(株)丸宮商会","R6.1.15","R6.4.6","琉球銀行牧港支店","","500000","みずほ銀行那覇支店",""
"","ビー・ゼイ工事(株)","R6.1.12","R6.4.7","沖縄銀行崇元寺支店","","870000","みずほ銀行那覇支店",""
"T2360002008920","(有)エス・アイ・シー","R5.12.29","R6.4.8","沖縄銀行安慶名支店","","2576000","みずほ銀行那覇支店",""
"","(株)大眞商会","R5.12.6","R6.4.10","沖縄銀行大道支店","","514800","みずほ銀行那覇支店",""
"","丸高商事","R5.12.11","R6.4.10","沖縄銀行石垣出張所","","765831","みずほ銀行那覇支店",""
"","丸高商事","R5.12.11","R6.4.10","沖縄銀行石垣出張所","","10000000","みずほ銀行那覇支店",""
"T5370201003297","(株)宮城ビルテック","R5.12.11","R6.4.10","七十七銀行若柳支店","","298845","みずほ銀行那覇支店",""
"T8021001024516","(株)トービル湘南","R5.12.12","R6.4.10","みずほ銀行稲城中央支店","","200000","みずほ銀行那覇支店",""
"T4021001032596","(株)櫛田度器製作所","R5.12.12","R6.4.10","スルガ銀行小田原東支店","","221705","みずほ銀行那覇支店",""
"T4360001009918","沖縄シャーリング(株)","R5.12.12","R6.4.10","沖縄銀行本店営業部","","2892352","みずほ銀行那覇支店",""
"T7410001012401","東光産業(株)","R5.12.22","R6.4.10","秋田銀行大館支店","","178376","みずほ銀行那覇支店",""
"計","","","","","","","",""
