振出人,振出年月日,支払期日,支払銀行名称,支払銀行支店名,金額,割引銀行名及び支店名等,摘要
朝日電気(株),5.1.31,5.5.31,三菱UFJ鍵行,,118910,,
(同上),5.3.31,5.7.31,〃,,265837,,
(株)泉屋東京店,5.2.10,5.6.15,横浜銀行,,1043845,,
(株)エースパッケージ,5.1.17,5.5.31,埼玉りそな銀行,,168851,,
(同上),5.2.20,5.6.30,〃,,360173,,
(同上),5.3.30,5.7.31,〃,,157601,,
(有)大廣紙器製作所,4.12.20,5.4.10,さわやか信用金庫,,493407,,
(同上),5.1.20,5.5.10,,,791188,,
(同上),5.2.20,5.6.12,〃,,537561,,
(有)小師紙器製作所,5.2.20,5.6.26,さわやか信用金庫,,860217,,
(同上),5.3.20,5.7.25,〃,,760296,,
(株)昭和物産,5.2.28,5.7.5,三菱UFJ銀行,,7084916,,
(同上),5.3.31,5.8.5,〃,,7748000,,
シミフレックス(株),4.12.30,5.4.25,三菱UFJ銀行,,483912,,
(同上),5.1.31,5.5.25,〃,,559314,,
(同上),5.2.28,5.6.26,〃,,375210,,
(同上),5.3.31,5.7.25,〃,,521477,,
タカラ工業(株),5.2.28,5.7.5,りそな銀行,,165803,,
(株)大成,5.2.28,5.7.10,三井住友銀行,,1740822,,
(同上),5.3.31,5.8.10,〃,,3346620,,
興亜紙器(株),4.12.27,5.4.30,三井住友銀行,,41621,,
タイヨー(株),5.1.31,5.5.31,横浜銀行,,633527,,
(同上),5.2.28,5.6.30,〃,,627817,,
計,,,,,,,
