"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(有)メイセイ","令5.2.28","令5.7.5","中京銀行","新瑞橋支店","264264","6/20阪和工材",""
"(有)メイセイ","令5.3.10","令5.7.5","百五銀行","江場支店","10000000","6/20秀和通商",""
"(有)メイセイ","令5.3.10","令5.7.5","百五銀行","江場支店","3116369","6/20阪和工材",""
"(有)メイセイ","令5.3.6","令5.7.5","中京銀行","枇杷島通支店","1242695","6/20阪和工材",""
"(有)メイセイ","令5.3.10","令5.7.10","大垣共立銀行","美濃加茂支店","1543378","6/20豊商",""
"(有)メイセイ","令5.3.15","令5.7.15","三菱UFJ銀行","熱田支店","432558","6/20豊商",""
"(有)メイセイ","令5.3.20","令5.7.20","瀬戸信用金庫","瑞穂通支店","4762000","6/20豊商",""
"(有)メイセイ","令5.3.20","令5.7.20","三菱UFJ銀行","中村支店","262834","6/20豊商",""
"(有)メイセイ","令5.3.20","令5.7.26","名古屋銀行","小田井支店","300000","6/20豊商",""
"(有)メイセイ","令5.3.20","令5.7.28","三井住友銀行","兵庫支店","182317","6/20豊商",""
"(有)メイセイ","令5.3.31","令5.7.31","百五銀行","江場支店","1831453","6/20豊商",""
"(有)メイセイ","令5.2.28","令5.7.31","三菱UFJ銀行","茨木支店","2552853","6/20豊商",""
"(有)メイセイ","令5.3.20","令5.7.31","名古屋銀行","甚目寺支店","2952848","6/20豊商",""
"(有)メイセイ","令5.3.31","令5.7.31","名古屋銀行","柳橋支店","505835","6/20豊商",""
"(有)大橋","令5.2.20","令5.6.30","三菱UFJ銀行","勝川支店","250000","5/22阪和工材",""
"(有)大橋","令5.3.20","令5.7.25","愛知銀行","大口支店","1142138","5/22豊商",""
"(有)大橋","令5.3.20","令5.7.31","瀬戸信用金庫","鷹来支店","551441","5/22阪和工材",""
"(有)大橋","令5.3.20","令5.7.31","瀬戸信用金庫","車道支店","3300000","5/22阪和工材",""
"(株)カノークス","令5.3.20","令5.6.30","三菱UFJ銀行","名古屋駅前支店","274439","5/22阪和工材",""
"ミヅホ工業(株)","令5.3.27","令5.6.25","岐阜信用金庫","楠町支店","800000","5/22阪和工材",""
"大和特殊鋼(株)","令5.3.31","令5.7.31","りそな銀行","大阪西区支店","2806223","6/20秀和通商",""
"大和シャーリング(株)","令5.3.31","令5.7.31","りそな銀行","大阪西区支店","2497594","6/20秀和通商",""
"(株)キコ・ステンレス","令5.2.28","令5.6.25","北陸銀行","渋谷支店","785316","5/22豊商",""
"計","","","","","","",""
