"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"長浜産業(株)","R4.4.30","R4.8.31","伊予/呉","","1501062","/","3枚"
"品川窯材(株)","R4.5.5","R4.6.5","商工中金/岡山","","1475100","/","2枚"
"山口県農業機械商工楽協同組合","R4.4.26","R4.7.26","山口/小郡","","1249464","/","3枚"
"(株)カナモト","R4.5.31","R4.7.31","三菱UFJ/札幌","","1239191","/","3枚"
"ーシフン(協)▲(株)","R4.4.5","R4.7.5","尼崎信金/本店営業部","","1015960","/","4枚"
"(株)原商","R4.4.5","R4.8.5","山陰合同/宍道","","982264","/","5枚"
"八王寺工業(株)","R4.5.30","R4.6.30","山陰合同/境港","","951907","/","2枚"
"三興建設(株)","R4.4.5","R4.7.5","山口/広島","","937000","/","2枚"
"(株)福本工務店","R4.7.31","R4.7.31","山口/柳井南","","934481","/","1枚"
"小計","","","","","10286429","",""
