"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","初穂商亊(株)","R5.11.14","R6.3.31","三菱UFJ銀行今池支店","","4573800","",""
"T8180001097829","(株)インダストリーコーワ","R5.11.21","R6.3.31","三菱UFJ銀行尾張新川支店","","712800","",""
"T3360002007293","(有)なか総合金物商会","R5.11.30","R6.3.31","琉球銀行本店営業部","","759000","",""
"T3370001005611","(株)鉄宝機械","R5.11.30","R6.3.31","七十七銀行東仙台支店","","349075","",""
"T8030001076970","(株)フカガワ","R5.11.30","R6.3.31","埼玉りそな銀行西川口支店","","153846","",""
"T6360001015468","南栄工業(株)","R5.11.30","R6.3.31","琉球銀行内間支店","","1468632","",""
"T8140001048876","サンコー物産(株)","R5.11.30","R6.3.31","みずほ銀行四ツ橋支店","","3365140","",""
"T5010501027718","(株)フォーワイズ","R5.11.30","R6.3.31","千葉銀行松飛台支店","","650000","",""
"","(株)三光ボルト","R5.12.11","R6.3.31","みちのく銀行十和田中央支店","","301356","",""
"T5360001007524","コンボルト・ジャパン(株)","R5.12.29","R6.3.31","沖縄銀行本店営業部","","466512","みずほ銀行那覇支店",""
"","(有)きん","R5.12.29","R6.3.31","沖縄銀行本部支店","","1653439","みずほ銀行那覇支店",""
"","(株)樹産業","R6.1.5","R6.3.31","琉球銀行北谷支店","","146000","",""
"","大倉インダストリ一(株)","R5.12.29","R6.3.31","中国銀行水島支店","","198675","",""
"T4360002012656","(有)ハードセンター","R6.1.11","R6.3.31","琉球銀行北谷支店","","152000","みずほ銀行那覇支店",""
"","(株)創伸","R6.1.12","R6.3.31","みずほ銀行小舟町支店","","351890","",""
"","(株)ヤマキ","R6.1.16","R6.3.31","常陽銀行平支店","","256318","",""
"","未来産業","R6.1.31","R6.3.31","沖縄銀行若松支店","","2000000","みずほ銀行那覇支店",""
"","(株)大眞商会","R6.2.7","R6.3.31","沖縄銀行本店営業部","","561000","",""
"T2360002012716","(有)中の町建材","R6.2.20","R6.3.31","琉球銀行北谷支店","","571000","",""
"","諸見左官材料販売","R6.3.25","R6.3.31","琉球銀行本店営業部","","165920","",""
"","(有)一建工業","R6.1.11","R6.4.1","沖縄海邦銀行嘉手納支店","","1320000","みずほ銀行那覇支店",""
"T7360001006508","(株)ナカモト","R6.1.18","R6.4.1","沖縄銀行古波蔵支店","","2139045","みずほ銀行那覇支店",""
"","(有)松ケ根商店","R6.1.31","R6.4.1","七十七銀行田尻支店","","104707","みずほ銀行那覇支店",""
"計","","","","","","","",""
