"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"T2360001010571","(株)Will","R6.2.16","R6.5.31","三井住友銀行難波支店","","501475","",""
"T2360001010571","(株)Will","R6.2.16","R6.5.31","沖縄銀行本店営業部","","509047","",""
"","(有)きん","R6.2.29","R6.5.31","沖縄銀行本部支店","","1320330","",""
"T5360001007524","コンボルト・ジャパン(株)","R6.2.29","R6.5.31","沖縄銀行本店営業部","","275138","みずほ銀行那覇支店",""
"","(株)高千穂商会","R6.2.29","R6.5.31","名古屋銀行猪子石支店","","160000","みずほ銀行那覇支店",""
"T4360002012656","(有)ハードセンター","R6.3.25","R6.5.31","琉球銀行北谷支店","","344000","",""
"","(株)ヤマキ","R6.3.25","R6.5.31","常陽銀行平支店","","311112","",""
"","(有)松ケ根商店","R6.3.29","R6.5.31","七十七銀行田尻支店","","101244","",""
"","(株)NCT四倉","R6.3.29","R6.5.31","常陽銀行平支店","","135153","",""
"","キンキキカイ(株)","R6.3.29","R6.5.31","筑邦本店営業部","","170328","",""
"","諸見左官材料販売","R6.3.25","R6.6.1","沖縄銀行本店営業部","","1020000","",""
"","(株)スズトヨ","R6.2.14","R6.6.3","東邦銀行原町支店","","1092201","",""
"","デザインワークス(株)","R6.2.29","R6.6.3","沖縄銀行普天間支店","","786000","",""
"","(有)一建工業","R6.3.25","R6.6.3","沖縄海邦銀行嘉手納支店","","3080000","",""
"","(株)徳原組","R6.3.29","R6.6.3","琉球銀行名護支店","","1077152","",""
"","(株)沖縄日興","R6.1.31","R6.6.5","沖縄銀行山内支店","","3227796","",""
"","(株)三晴","R6.1.31","R6.6.5","琉球銀行本店営業部","","5000000","",""
"","(株)三晴","R6.1.31","R6.6.5","琉球銀行本店営業部","","164632","",""
"T9360001000995","(株)サンライト","R6.1.31","R6.6.5","琉球銀行本店営業部","","2988861","",""
"","(有)三共金物","R6.2.29","R6.6.5","沖縄海邦銀行南風原支店","","2000000","",""
"T3360001009191","(株)丸宮商会","R6.3.6","R6.6.6","琉球銀行牧港支店","","500000","",""
"","ビー・ゼイ工事(株)","R6.3.25","R6.6.7","沖縄銀行崇元寺支店","","1060000","",""
"","丸高商事","R6.2.14","R6.6.10","沖縄銀行石垣出張所","","4473942","",""
"計","","","","","","","",""
