"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"奥村機械製作所(株)","5.10.20","6.1.25","","","3465000","",""
"飛島建設(株)","5.11.20","6.1.20","","","628210","",""
"同上","5.11.20","6.1.20","","","1017449","",""
"同上","5.12.20","6.2.20","","","682660","",""
"同上","5.12.20","6.2.20","","","2560780","",""
"地中空間開発(株)","5.12.20","6.2.20","","","2973960","",""
"(株)E&CS","5.11.20","6.1.20","","","900793","",""
"同上","5.12.20","6.2.20","","","1571875","",""
"(株)テッケン興産","5.11.10","6.2.10","","","3570000","",""
"同上","5.10.10","6.1.10","","","2770000","",""
"電子記録債権計","..","..","","","326270395","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"","..","..","","","","",""
"合計","","","","","328106380","",""
