"振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"(有)井筒紙工","R5.7.10","R5.11.30","川之江信用金庫南支店","","883291","",""
"(有)SPC","R5.7.14","R5.11.1","愛媛銀行新居浜支店","","1626271","","(株)サクラ・シノコウ"
"エヒメ紙工(株)","R5.6.12","R5.10.15","中国銀行川之江支店","","373373","",""
"〃","R5.7.10","R5.11.15","中国銀行川之江支店","","2303790","",""
"(株)エム・パック","R5.6.30","R5.10.20","中国銀行川之江支店","","135212","",""
"〃","R5.7.31","R5.11.20","中国銀行川之江支店","","4416423","",""
"〃","R5.8.31","R5.12.20","中国銀行川之江支店","","500280","",""
"(株)大西水引","R5.6.12","R5.10.31","伊予銀行川之江支店","","791835","",""
"〃","R5.7.10","R5.11.30","伊予銀行川之江支店","","308423","",""
"〃","R5.8.10","R5.12.31","伊予銀行川之江支店","","217316","",""
"〃","R5.9.11","R6.1.31","伊予銀行川之江支店","","255646","",""
"(有)大空紙店","R5.9.11","R5.10.31","広島銀行宇部支店","","240999","","(株)サクラ・シノコウ"
"カクケイ(株)","R5.8.18","R5.11.30","広島銀行三島支店","","703039","","三和紙工(株)"
"カミイソ産商(株)","R5.7.10","R5.10.18","広島銀行川之江支店","","221258","",""
"(株)キンセイ","R5.6.12","R5.10.20","香川銀行川之江支店","","330000","",""
"(株)合英","R5.7.18","R5.10.31","広島銀行三島支店","","225148","","(株)スズキ紙工業"
"(株)さくら印刷","R5.8.18","R5.10.31","阿波銀行池田支店","","189235","","三和紙工(株)"
"四国電気工業(株)","R5.8.22","55.12.20","百十四銀行徳島支店","","104472","",""
"篠原商事(株)","R5.5.10","R5.10.3","伊予銀行川之江支店","","943730","",""
"〃","R5.6.12","R5.11.3","伊予銀行川之江支店","","600617","",""
"〃","R5.7.10","R5.12.3","伊予銀行川之江支店","","738579","",""
"〃","R5.8.10","R6.1.3","伊予銀行川之江支店","","340446","",""
"〃","R5.9.11","R6.2.3","伊予銀行川之江支店","","742284","",""
"計","","","","","","",""
