"登録番号","振出人","振出年月日","支払期日","支払銀行名称","支払銀行支店名","金額","割引銀行名及び支店名等","摘要"
"","ビー・ゼイ工事(株)","R6.1.12","R6.5.10","沖縄銀行高橋支店","","1596610","みずほ銀行那覇支店",""
"T2360001010571","(株)Will","R6.1.16","R6.5.10","琉球銀行南風原支店","","294600","みずほ銀行那覇支店",""
"T5370201003297","(株)宮城ビルテック","R6.1.16","R6.5.10","七十七銀行若柳支店","","628784","みずほ銀行那覇支店",""
"","諸見左官材料販売","R6.1.29","R6.5.10","琉球銀行内間支店","","293000","みずほ銀行那覇支店",""
"T3360002007293","(有)なか総合金物商会","R6.1.31","R6.5.10","琉球銀行安波茶支店","","3000000","みずほ銀行那覇支店",""
"T3360002007293","(有)なか総合金物商会","R6.1.31","R6.5.10","沖縄銀行古波蔵支店","","660000","みずほ銀行那覇支店",""
"T4360002020881","(有)新城建材","R6.1.31","R6.5.10","沖縄銀行名護支店","","218929","みずほ銀行那覇支店",""
"T6360001001170","(株)真力","R6.1.31","R6.5.10","沖縄銀行首里支店","","7337769","みずほ銀行那覇支店",""
"","(株)徳原組","R6.1.31","R6.5.10","琉球銀行名護支店","","540000","みずほ銀行那覇支店",""
"T4360001000125","(株)石川部品店","R6.2.14","R6.5.10","琉球銀行泊支店","","415833","みずほ銀行那覇支店",""
"","丸高商事","R6.2.14","R6.5.10","沖縄銀行石垣出張所","","365559","みずほ銀行那覇支店",""
"","屋富祖金物店","R6.3.29","R6.5.13","琉球銀行名護支店","","776000","",""
"T8360001005376","(株)やまき","R6.1.18","R6.5.15","沖縄銀行西原支店","","1565284","みずほ銀行那覇支店",""
"","渡辺パイプ沖縄(株)","R6.1.26","R6.5.15","みずほ銀行東京営業部","","305433","みずほ銀行那覇支店",""
"T3360002007293","(有)なか総合金物商会","R6.1.31","R6.5.15","沖縄銀行内間支店","","750000","みずほ銀行那覇支店",""
"T1360001008757","(株)グリーンツールセンター","R6.2.20","R6.5.15","沖縄銀行新都心支店","","1587576","みずほ銀行那覇支店",""
"","(株)創伸","R6.3.6","R6.5.15","みずほ銀行仙台支店","","175117","",""
"","諸見左官材料販売","R6.3.25","R6.5.15","沖縄銀行内間支店","","247500","",""
"T8360001008437","(株)一心堂","R6.2.14","R6.5.18","沖縄銀行内間支店","","1514640","みずほ銀行那覇支店",""
"","(有)長堂建材店","R6.2.7","R6.5.20","沖縄海邦銀行てだこ支店","","654652","みずほ銀行那覇支店",""
"","(株)清水金物店","R6.3.25","R6.5.20","岩手銀行一関支店","","138215","",""
"","清水建設(株)","R6.3.29","R6.5.20","みずほ銀行内幸町営業部","","3732200","",""
"","(株)沖縄神洋ペイント","R6.1.31","R6.5.21","琉球銀行西原支店","","530000","みずほ銀行那覇支店",""
"計","","","","","","","",""
